,title,reviews,scores,genres
0,Ragdoll Dismounting,1라부터 막힘 한번죽으면거의다 광고나옴 돈너무 안줌,4.2,캐주얼 게임
1,Ragdoll Dismounting,아주좋아요,4.2,캐주얼 게임
2,Ragdoll Dismounting,이거불가능해서별하나그리고삭제하루종일이거안함,4.2,캐주얼 게임
3,Ragdoll Dismounting,존잼,4.2,캐주얼 게임
4,Lets Pop,돈도 잘 모아지고 좀 괜찮은데 가면 갈수록 돈 모으는게 조금씩 힘들어 지네요..;;광고도 조금씩 더 많이 나오고..그리고 50 개 광고..험..그래도 50 개 광고도 다 보긴 했어요..로벅스를 진짜 주는지 궁금해서 종 깔아 보기는 했는데 진짜로 로벅스 주면 다시 후기 남겨 드릴게요~!,4.4,캐주얼 게임
5,Lets Pop,"지금 19985.6 다야 모은 사람입니다 이게 네크워크랑 블루투스 끄면 광고는 안나오고 좋은데 저 정도 모으면..음..0.6개 씩 줍니다.. 이건 뭐 하라는 건가요.. 그래도 아직 20000개는 못 모았으니 모으고 다시 알려드리겠습니다! (4점인 이유:광고가 많음;; 처음엔 퍼주다가 끝엔 코딱지,먼지 만큼줌)",4.4,캐주얼 게임
6,Lets Pop,처음에는 포인트도 많이 주고 광고도 별로 없었는데 하다보니깐 포인트도 3이나5까지만 주고 1개씩 성공할때마다 계속 광고나오고.. 광고할때 광고가 끝나고나면×가 나와야 하는데 안나올때가 많아요 좀 실망이에요... 강추 않합니다 절대 하지마세요,4.4,캐주얼 게임
7,Lets Pop,"일단 아주 큰 단점은 광고가 너무 많이 나와요..진짜 거의 한판에 1~2번정도?그래도 좋은점은 재밌긴 하고 처음에 얼마나 받을지 정할수 있고,중간중간 보너스도 나오네요",4.4,캐주얼 게임
8,Lets Pop,제가 3점 드리는 이유 알려드리겠습니다. 단점은 1.갈수록 로벅스?를 적게 줌 2.광고를 봐야됌 광고를 봐도봐도 끝이 없습니다. 장점:심심할때 하기 좋네요.,4.4,캐주얼 게임
9,Lets Pop,정말 게임도 쉽고 재밌어요. 다른분들은 광고 보시는걸 안 좋아하시더라구요. 허지만 저는 심심할때 광고보면 광고가 재밌더라구요. 겜도 좋아요. 재밌는 게임 많이 만들어주세요.,4.4,캐주얼 게임
10,Lets Pop,"리뷰 수정이 안되길래 리뷰 하나 더 쓰는데요..이건 아니죠..다른분들은 광고가 수동이라는데 쫌 많이 벌면 안 그래요..그리구요 다모아서 광고 50개 봐야되는데요,그거 다보면 또 20개를 더 봐야되요..전 이미 그 광고를 다 보고 대기 중이라 앱삭은 안 하는데요..기다리는 것도 진짜 너~~~~무 힘들어요!!첨엔 하루에 1000순서가 막 땅겨지더니 500정도 되니깐 하루에 100정도만 깎이고요,300정도 되면 하루에 50개?정도 밖에 안 깎여요..더 기다려볼게요..일단은..",4.4,캐주얼 게임
11,Lets Pop,"진짜, 와... 너무 오래 걸려요ㅠㅠㅠㅠ 광고도 넘 많고 그리고 또 10000다이아를 다 모았는데 또 광고 50개를 보라네요... 하 참나... 이 게임 별덤 1점도 아깝네요 이게임되도록이면 하지 마세요",4.4,캐주얼 게임
12,Lets Pop,너무 재밌고요 이거 추천드립니다 광고가 많이나와도 재밌어요 특히 이어폰끼고하시면 소리 대박입니다!!,4.4,캐주얼 게임
13,Lets Pop,"다 너무 좋아요,근데 4점을준이유는 1.광고가 너무많다 2.가면갈수로 보석을 적게준다 3.받을려면 광고를 50개봐야해 힘들다. 로벅주면 5점에다 다시 리뷰할게요",4.4,캐주얼 게임
