,title,reviews,scores,genres
0,Draw Saber,와이파 게임이고 멋있는 검이많아요 그리고 검 그림자도 멋져요,3.3,액션
1,Draw Saber,반복적이다 심심할때마다하는걸추천,3.3,액션
2,Draw Saber,나름 재밌지만 콘텐츠가 너무없고 반복임,3.3,액션
3,Draw Saber,레벨 반복돼고 노잼,3.3,액션
4,Draw Saber,재미있지는 않다,3.3,액션
5,Draw Saber,멋진데 요,3.3,액션
6,Draw Saber,와 결론부터 말하자면 족같습니다!,3.3,액션
7,Draw Saber,개노잼 또캍은것만 나와서 개노잼,3.3,액션
8,Draw Saber,너무 재미따 딸기잼보다 재미따 대신.....광고가 적다 어떤게임보단말이다,3.3,액션
9,Draw Saber,재밌음,3.3,액션
10,Draw Saber,재미없어요.,3.3,액션
11,Draw Saber,재미는 있지만 반복이에요,3.3,액션
12,Draw Saber,몰라,3.3,액션
13,Ragdoll Turbo Dismount,재미있긴한데 광고가 너무 많아요... 예전에는 광고도없고 돈벌기도 쉬웠는데... 많이 바뀌었네요... 가장문젠느 광고에요 버튼하나만누르면 광고가 계속나오는데 5초광고면 이해하는데 왜 1분짜리광고가 계속나오죠?,3.6,시뮬레이션
14,Ragdoll Turbo Dismount,광고가 심각하게 많이 나오고 조작 방법을 모르겠음.그나마 나와 있는게 tap and hold(계속해서 두드려라)인데 연타해도 안되고 뭘 해도 시작하자마자 누워버리고 3초 지나고 겜 끝남.따로 조작법이나 듀토리얼을 만들어야 한다고봄.,3.6,시뮬레이션
15,Ragdoll Turbo Dismount,"사람이 안움지견 안다치는데 킥보드 , 자동차 움직여 주셈 근데 사고 나면서 초하지 가만히 있으면 초나오고 3,2,1 먼데요 그리고 게임 끝 다시 반복임 초만없애줘!!!!!!!",3.6,시뮬레이션
16,Ragdoll Turbo Dismount,보통 3초 세고 돈이 집계되는데 계속 1초에서 안 넘어가고 숫자만 반복됩니다. 버그 오지네요,3.6,시뮬레이션
17,Ragdoll Turbo Dismount,재밌는게임이네요!,3.6,시뮬레이션
18,Ragdoll Turbo Dismount,자 이게임 하지마세요 1.광고 많이나옴 2.짝퉁 3.현질유도 원본이 더 재밌음 Stickman bismount 원본이름,3.6,시뮬레이션
19,Ragdoll Turbo Dismount,아니 3초 너무 적어요 3초 안에 계단도 안내려가고 광고가 엄청 나와요 그리고 이 게임 다른 게임 짭이던뎈ㅋㅋ 그냥 하지마세요,3.6,시뮬레이션
20,Ragdoll Turbo Dismount,재밌을것같아서 해봤는데 게임조작법이 처음에는 하나도 이해 를 못했어요ㅜ 조작법이 살짝 어려웠다고 해야하나? 어쨎든 조금 어려웠어요 그래도 퀄리티는 괜찮더라고요!조작법 알고나 서는 조금 재밌게 했습니다.,3.6,시뮬레이션
21,Ragdoll Turbo Dismount,재미있네요. 근데 맵이나 차가 더 추가 되면 좋겠고요 돈을 쉽게 벌 수 있게 해주세요. 아무튼 이런 재미있는 게임 많이 만들어 주세요.,3.6,시뮬레이션
22,Ragdoll Turbo Dismount,게임 한번 하고 오류로 인해 재접속해야합니다. 재설치해도 동일한 증상이라 무얼 할 수가 없네요,3.6,시뮬레이션
23,Ragdoll Turbo Dismount,환불해주십시오 1200원 결제를 하였으나 결제는 완료되고 게임머니는 충전이되지않았습니다. 환불해주세요ㅡㅡ,3.6,시뮬레이션
24,Ragdoll Turbo Dismount,조작법에 관해서 이야기해드리자면 start버튼은 꾹 누르세면 게이지바가 올라갔다 내려갑니다 올라갔을때 손을 때시면은 됩니다,3.6,시뮬레이션
25,Ragdoll Turbo Dismount,계단을 내려가도 3초후에 뭘 해야 할지 모르겠고 광고도 많아요,3.6,시뮬레이션
26,Ragdoll Turbo Dismount,광고 진짜 많네ㅋㅋ 들어가면 광고 1판하면 광고 이런 그지본능으로 유튜브에 광고는 어떻게 올리셨데ㅋㅋ,3.6,시뮬레이션
27,Ragdoll Turbo Dismount,게임은 제밌는데 광고가 계속 나와요 너무 불편해요.,3.6,시뮬레이션
28,Ragdoll Turbo Dismount,아니! 자꾸 안가잔아요! 광고가 많고!🤬 짝퉁 이에요! 광고 없으면 좋아요! 안해요!,3.6,시뮬레이션
29,Ragdoll Turbo Dismount,돈모으기가 쉽지는 않지만 스트레스는 잘 풀리는 게임이네요! 앞으로 화이팅!,3.6,시뮬레이션
30,Ragdoll Turbo Dismount,단 하나만 말할게요. 절.대.깔지 마세요,3.6,시뮬레이션
31,Ragdoll Turbo Dismount,너무 재미 없고 광고가 많이 있어요,3.6,시뮬레이션
32,Ragdoll Turbo Dismount,스테이지 살펴보니까 300000만원 짜리 스테이지가 있는데 한판에 100원도 안주면서 어떻게 사라는건지 모르겠네요 그냥 현질겜인듯,3.6,시뮬레이션
33,Ragdoll Turbo Dismount,광고 드릅게 많이 나오네.. 하.. 진짜...,3.6,시뮬레이션
34,Ragdoll Turbo Dismount,"야 이거 100% stickman Dismounting짭겜이다.이거 내가 해봤는데 설치,스테이지 등 다~~~ 똑같다! 야 제작자 반성해라!!!!!!",3.6,시뮬레이션
35,Ragdoll Turbo Dismount,광고만 빼주시면 진짜 아주 최고 겜인듯,3.6,시뮬레이션
36,Ragdoll Turbo Dismount,진짜 재미있음니다 그런대 돈이 잘 오르지 않습니다.그래서☆4개로 드립니다,3.6,시뮬레이션
37,Ragdoll Turbo Dismount,게임에광고가10개넘개나오고3초안에게임도못하고광고로돈벌어야함너무짜증나고답답하고광고진짜너무만아서진짜아오이게임비추합니다,3.6,시뮬레이션
38,Ragdoll Turbo Dismount,광고가 너무 많이 나와요 님들 하지 않는게 좋을 것 같아 노잼임,3.6,시뮬레이션
39,Ragdoll Turbo Dismount,이거 다운하면 100퍼 후회함 스테이지들어오면 포즈바꾸고 모든방법을 다써봐도 갑자기지혼자넘어지고 검은화면뜸 ㅋ 이게 게임이냐?,3.6,시뮬레이션
40,Ragdoll Turbo Dismount,재밌어요 광고가 좀 많아서 4점,3.6,시뮬레이션
41,Ragdoll Turbo Dismount,광고가 너무 심해요ㅠㅠ,3.6,시뮬레이션
42,Ragdoll Turbo Dismount,자꾸하니 재미가 떨어지지만 잘만듬,3.6,시뮬레이션
43,Ragdoll Turbo Dismount,3.2.1하고 끝나야되는데 1이 계속 반복되고 돈을 안들어옴,3.6,시뮬레이션
44,Ragdoll Turbo Dismount,광고가.......너무 많이 나와요,3.6,시뮬레이션
45,Ragdoll Turbo Dismount,광고가 조금 심함,3.6,시뮬레이션
46,Ragdoll Turbo Dismount,망할 카운트다운 시스템이 그나마 있는 장점을 말아 먹었어,3.6,시뮬레이션
47,Ragdoll Turbo Dismount,광고가 너무 나와서 할수가 없어요,3.6,시뮬레이션
48,Ragdoll Turbo Dismount,쉽게 할수있어서 좋은것같아요,3.6,시뮬레이션
49,Ragdoll Turbo Dismount,저는 이 게임을 하고 있었는데 음직이지도않았는데 벌써 끝이었어요 이게임 왜 이러죠🙄😨😱,3.6,시뮬레이션
50,Ragdoll Turbo Dismount,광고가 *많아,3.6,시뮬레이션
51,Ragdoll Turbo Dismount,광고가너무많아,3.6,시뮬레이션
52,Ragdoll Turbo Dismount,우드득우드득하는소리가좋고재밌습니다,3.6,시뮬레이션
53,Ragdoll Turbo Dismount,광고 개 많네,3.6,시뮬레이션
54,Ragdoll Turbo Dismount,게임이 돈도안벌리고 1만 반복되는 버그?가 있어 노답,3.6,시뮬레이션
55,Ragdoll Turbo Dismount,너무재밋는디이건알람해요.,3.6,시뮬레이션
56,Ragdoll Turbo Dismount,돈은 볼수있게 해주자. 광고 때문에,3.6,시뮬레이션
57,Ragdoll Turbo Dismount,광고 제거 인앱 구매를 하였으나 적용되지 않음,3.6,시뮬레이션
