,title,reviews,scores,genres
0,Pou,"너무너무 좋아요! 캐릭터가 귀여워서 말 따라할때면 기분이 좋아요~! 광고도 안 나오고 미니게임도 있어서 재밌어요!! 버그,렉,오류 등 없이 깔끔한 게임은 포우가 처음입니다ㅠ♡!! 포우 살찐거, 입 벌리는거••• 다 너무 귀욤귀욤해요ㅎㅎㅎㅎㅎ 심심할때 하면 아주 적합한 앱(?)인것 같아요! 알람소리도 개성있고 웃겨욬ㅋㅋㅋ근데 어른이 되는 포션이랑 어린이가 되는 포션을 게임동전으로 비싸게라도 살수는 없을까요? 그래도 이 앱은 별 100개 줘도 좋을것같네욯ㅎ",4.4,캐주얼 게임
1,Pou,게임이 너무 귀여워요!! 다만 자주 안들어가면 에너지랑 다 떨어져서 자주 채워줘야 되요 게임도 많은데 뭔가 하다보면 질릴 수 있어요,4.4,캐주얼 게임
2,Pou,제작자분들! 요즘 나오는 게임들이 퀄리티가 높기 때문에 좀 퀄리티를 높이는 업데이트를 해주셨으면 좋겠습니다 3d로 하거나 그런거 말고 뭐 배경을 좀 추가시키거나 하셨으면 좋겠습니다,4.4,캐주얼 게임
3,Pou,광고도 없고 넘재미있고 다른 미니게임도 많아서 추천합니다,4.4,캐주얼 게임
4,Pou,무료게임이고 광고도 많이 없는 것 같고 질도 좋아서(?) 어린 애들도 할 수 있으며 계정 저장도 되니 너무 좋네요!!,4.4,캐주얼 게임
5,Pou,"와~이겜 별 하나 준 분들은 이해가 안돼네요 버그,랙등등 없이 깔끔하고요 게임 레벨도 적당하고 진짜 최고겜이고 별 하나 준 분들은 이해가 정말 안돼네요",4.4,캐주얼 게임
6,Pou,어릴때 했던건데 아직 재미있네요~광고도 얼마 안나오고 재밌어요!이 요즘 게임보다 나은것 같아요 ㅠㅜ 평점 1점은 거의다 잼민이네요ㅋㅋ,4.4,캐주얼 게임
7,Pou,어릴때 많이 했던 게임입니다. 이게 벌써 10년이나 지났다니.. 요즘 게임이라고 해도 믿을만한 퀄리티이지만 푸우의 게이지가 다 차면 할게 없어서 오래 하진 못할거 같습니다. 20년 뒤에요 봐요😊,4.4,캐주얼 게임
8,Pou,여러가지 미니게임들이나 깔끔한 게임 내 디자인에 매우 만족 하고 있어요. 하지만 포우의 기본적인 캐릭터가 개성있어 보이기는 하지만 몇몇 사람들은 공포심을 느낄 수 도 있을 것 같아요. 그러니 게임 시작 때에 원래 캐릭터나 다른 캐릭터를 추가로 만들어서 선택 할 수 있겠끔 하면 좋을 것 같아요.,4.4,캐주얼 게임
9,Pou,"지금까지 했던 키우기게임 중 이게 제일 재밌어요. 그리고 귀엽기도 하고요. 속눈썹, 립스틱, 가발, 신발, 몸색,눈색 등등이랑 의상도 여러가지에 의상 색도 여러가지, 벽지랑 집이랑 배경등등 세세한 것까지 제가 꾸밀 수 있어서 좋아요. 이 게임 하나에 다른 게임 대부분이 들어가 있어서 굳이 더 안 깔아도 되고, 와이파이 없어도 게임이 가능해서 더 짱. 엄마가 와파 끌 때 하면 아주 좋음. 모쪼록 추천합니다!",4.4,캐주얼 게임
10,Pou,포우특 하다가 귀차나서 지움 시간지나면 하고싶어서 또 깔음 5년째 반복중,4.4,캐주얼 게임
11,Pou,"ㅎㅎ제가 스마트폰을 처음 샀을 때부터 함께 하던 게임이에요:) 캐릭터를 굉장히 다양하게 꾸밀 수 있다는 게 가장 마음에 듭니다! 미니게임도 참신한 게 많구요..단순한 게임이라 하다 보면 질려서 삭제하고 또 포우가 그리워져서 깔고 삭제하고...무한반복하다가 지금 다시 깔러 왔습니다ㅋㅋㅋ그만큼 잊기 힘든 게임이에요! 요즘 나오는 자극적인 게임들보다야 재미가 덜하지만, 그냥 느긋하게 내새끼 둥가둥가 하면서 힐링하면 좋습니다♥",4.4,캐주얼 게임
12,Pou,"포우게임을 4년사용했던 유저입니다 이게 간단하지만 매우만족입니다,",4.4,캐주얼 게임
13,Pou,어려서 했던 게임을 이제야 찾았네요.이게임은 추천중에 진짜추천입니다.키우는거 좋아하시는분들께 추천이요~,4.4,캐주얼 게임
14,Pou,되게 재밌고 포우도 귀엽고 돈 모으는 재미도 쏠쏠해요 그런데 별 4개인 이유라면 에너지를 채울 때 너무 오래 걸려요 그리고 한 레벨 높이는데도 시간이 좀 걸리고요 에너지 100퍼센트로 채우는 물약도 비싸요;;;쉬는 방법으로 에너지를 채울 때는 1시간 이상 걸려요ㅠㅠㅠ그래도 옷 종류도 다양하고 포우가 너무 귀여워서 한 번 쯤 깔아보세요!!광고나 현질 유도도 거의 없고요!!!좋은 앱이에용,4.4,캐주얼 게임
15,Pou,"자 별점, 혹시나 1점 주신분들 잘 들으세요! 1.포우가 너무 재밌어요 오프라인 게임이 광고가 나와서 너무 불편 했는데 제가포우 간식,?음료 그런거 살때 빼고 안 나와요! 그리고.. 재미가.. 2.포우가 귀여워요 포우가 평소에도,귀여워요. 근데 밥 못먹고 굶주릴때는 더 귀여워여! 3.게임이 세론데 재밌네요!. 저 원래 세로게임은 잘 안해요! 근데 이건 세로가 더 많이 나오는데 지우지 않아요 (이제부터 궁금한 점이에요!) 1.코인을 다쓰고 위에 해야하는 경험치(?)도 다차면 어떻해요? ..... 이제 끝이에요 근데 포우는 이 세가지만...
전체 리뷰",4.4,캐주얼 게임
