,title,reviews,scores,genres
0,드래곤 시티 (Dragon City),"지금 초반이라 그런지 이벤트도 진짜 혜자고(최상위 등급 드래곤을 줌) 즐기는데 벽을 느낀적은 없음. 물론 몇가지 (부화장, 번식장) 잘 못 계산하면 할게 없어져서 걍 게임 나와야하는 단점도 있지만 (행동을 하고나면 어느정도 기다려야하는 게임 특) 그래서 서브겜으로도 하기 좋은거 같음. 경쟁게임이 주 컨텐츠 중 하나인데 내가 알기론 이 게임 최소 6년도 넘은거 같은데 전 세계적으로 신규유저도 많은것 같음. 그런데 이상하게 한국인은 잘 안보임. 아무튼 어렸을때나 지금이나 재밌게 하는중.",4.7,시뮬레이션
1,드래곤 시티 (Dragon City),"정말 재밌는데 딱 이 두가지만 고쳐주셨으면 좋겠어요. 1. 일단 부화, 타워 만들기,번식 등으로 시간이 오래걸리는데 그 때 보석으로 가속 시킬순 있지만 보석을 얻기가 힘들어서 부화,타워 만들기,번식을 하는 시간을 줄여주시면 더할 나위 없이 대단한 게임이 될 것 같아요. 2. 1번에서 말했듯이 보석 얻기가 힘들어요. 보석을 좀 더 빨리,많이 얻을 수 있으면 좋겠어요. 재밌는 게임 만들어주셔서 감사합니다",4.7,시뮬레이션
2,드래곤 시티 (Dragon City),지금은 관계도 없어서 너무 재밌어요 그리고 드래곤 은영아 음식이 나봐 이리 종류는 너무 재밌게 커요 여러가지 드래곤 이 될 수 있습니다 참 재밌어요,4.7,시뮬레이션
3,드래곤 시티 (Dragon City),"이 게임 할 거 없을 때 하면은 언제가 시간이 순삭당라는 게임. 유저들의 불편함이 많이 토로 되었지만, 보석은 각종 이벤트로 많이 얻을 수 있고 시간이 오래 걸리면 그냥 기다리면 된다. 돈도 하루 동안 열심히 모으면 1M을 하루만에 달성할 수도 있다. 각종 이벤트와 전투거리. 무과금도 얻을 수 있는 제일 높은 등급의 드래곤 히어로익 드래곤까지. 광고도 게임중에 나오지 않는다. 내가 보상을 얻고 싶을 때 내가 선택적으로 볼 수 있다. 그야말로 모든 것이 무과금을 향해서도 열려있는 게임. 꼭 해보길 바란다. 추신(부가설명): 보석 부족...
전체 리뷰",4.7,시뮬레이션
4,드래곤 시티 (Dragon City),드래곤ㄷㄹ이 서로서로 독특하게 잘 만들었습니다 그리고 노래소리가 주변 환경과 매우 밀접합니다,4.7,시뮬레이션
5,드래곤 시티 (Dragon City),친구가 추천 해 줬는데 드래곤 키우는 것과 전투 하는게 너무너무 재미있네요.^^ 제 리뷰 도움 됬으면 좋겠네요.^^,4.7,시뮬레이션
6,드래곤 시티 (Dragon City),드래곤 게임인데도 드래곤들이 모두 귀엽고 초보지만 정말 재밌어요~,4.7,시뮬레이션
7,드래곤 시티 (Dragon City),게임은 재미있지만 시스템 하나가 마음에 안듭니다 페이스북에서 친구를 초대하여 섬을 확장하거나 다음 서식지를 만들수 있는데 정작 페이스북을 거의 하지 않는 사람에게 있어서는 보석을 써야하는 상황이 있습니다. 이러한 시스템에 있어서는 많은 변화가 필요하다고 생각합니다. 친구가 있으면 게임을 마음대로 즐겨도 좋고 친구가 없으면 게임을 즐기지 말라는 소리와 같습니다. 빠른 변경 부탁드립니다.,4.7,시뮬레이션
8,드래곤 시티 (Dragon City),"다 좋은데 보석 얻기도 너무 힘들고 영웅 등급 드래곤을 현질 해야만 얻을수가 있는겄같아요,현재 3개월째L등급2개E등급 3개 말고는 좋은 드래곤이 없어요 보석과 영웅 등급 드래곤을 얻기 쉽게 해주시길 부탁 드립니다.",4.7,시뮬레이션
9,드래곤 시티 (Dragon City),다 좋습니다만... 버그가 있습니다. 고대 세계에서 번식을 시킬때 오류가 발생했습니다. 피어싱과 리버드를 번식시켰는데 그 두 용이 갑자기 시공의 폭풍 속으로 사라지더군요. 그 두놈 소환 버튼이 다시 떠서 소환 시도중인데... 소환을 또 했다 하면 오류 발생 문구 뜨고 튕긴 다음 또 그 두놈이 사라져 있습니다.,4.7,시뮬레이션
10,드래곤 시티 (Dragon City),너무 좋은데 단한가지 가 문제에요 보석을 었끼가 힘들고 레벌업을 해야 돼서 힘들어요,4.7,시뮬레이션
11,드래곤 시티 (Dragon City),오랜만에 들어왔는데도 재밌네요!🐉 드래곤들이 많아서 뭔가 좋고 듬직해서 좋아요 배틀에서 이길때 기분도 좋아서 강력추천합니다 드래곤도 귀여워요.,4.7,시뮬레이션
12,드래곤 시티 (Dragon City),이게 확실히 재미는 있지만 드래곤 그림체 차이가 심하고 보석 모으기도 힘듭니다. 광고는 적당하나 부화만 해도 c등급이 12시간이 훌쩍 넘고 현질 유도도 심하며 전투 또한 더 하려면 상당히 많은 시간을 기다려야 합니다. 시간 단축과 보석 문제만 해결해 주신다면 더 재밌는 별 5개의 게임이 될 것 같습니다.,4.7,시뮬레이션
13,드래곤 시티 (Dragon City),"안녕하세요 저는 이 게임을 재밌게 즐기고 있는 바나나떡모찌입니다^3^ 레전드도 있고 보상도 좋아서 게임 플레이는 만족하는데요...제가 드래곤빌리지라는 드래곤 게임 유저인데 그 게임을 하며 드래곤시티와 겹치는 드래곤 이름이 많다는 것을 알았습니다ㅠ_ㅠ 저는 당연히 드래곤시티가 먼저 나온줄 알았지만 드래곤빌리지가 2012년 1월에 출시되고 드래곤시티가 2013년 7월에 출시됬더라구요.. :( 겹치는 건 한 10개 정도고 스파이시,솔라,아틀란티스,스칼렛,펜리르,보레아스,네시,블레이드,허리케인 등입니다.. 다음부터는 다른 게임들과 이름이 ...
전체 리뷰",4.7,시뮬레이션
14,드래곤 시티 (Dragon City),이게임은 무과금도 고수가됄수있구요! 그리고 멋진드래곤도있어요!! 이게임 드래곤좋아 하면추천 합니다!,4.7,시뮬레이션
15,드래곤 시티 (Dragon City),와 금나 재밋어요 진짜시심한여러분 아니면 막퍼주는게임 좋와하는 여러분들 강력추천 (속마음) (드래곤 시티 하러 가야지) ^^ ^^ ^^~~~~~~~~~~~~~~~☆ 현질 아하는 무과금 여러분들 빨리 오세요.,4.7,시뮬레이션
16,드래곤 시티 (Dragon City),재미있어요 그런데 드래곤대결에서 상대편 드래곤이 너무강하네요 계속 지니깐 짜증나서 안하고 싶어지네요,4.7,시뮬레이션
17,드래곤 시티 (Dragon City),게임성 자체는 좋지만 광고와 다이아가 없다면 현질로 밀어 붙여야하는 아쉬운 게임,4.7,시뮬레이션
18,드래곤 시티 (Dragon City),현질유도가 많네요. 특히(우리에 갇힌 드래곤 이 자리도 차지하고 있어서 힘드네요. 현질유도가 높군요.삭제부탁드립니다. 그리고 처음들어갈때뜨는 팝업 광고 지워주세요. 많아도 심하게 많네여 삭제 부탁 드리고.그자리에 공지사항추가해주세요. 소과금으로 즐기고 싶습니다.중국게임광고.(기적의검.좀비퍼즐.판타지)좀 줄여주시고 다른 자사게임광고나 다른광고로 바꿔주세요. (이의견은 재량입니다.) (별갯수는 의견대로 게임수정할시 5개 드립니다. 1달 지날때마다 게임 수정 못하시면 1별씩 줄어듭니다.),4.7,시뮬레이션
19,드래곤 시티 (Dragon City),...좋긴해요..행사두 좋고..다좋은데...교환권을어떻게쓰는지 모르겠어요...방법좀 알려주세요..ㅠㅠ 그리구 좀 아시운게 있어요..저한텐이게임이정말좋은데.하다보면질려서..ㅜㅜ 게임으로 상품얻는거말구 설명을 자세히 해주시구! 아!글구 번식 시간이 넘긴거같아요..ㅜㅜ번식시간두 있구..알테어나눈것두 있구ㅜㅜ 시간이넘~~긴듯..../,4.7,시뮬레이션
20,드래곤 시티 (Dragon City),다 좋아요. 제발 게임 키고 나오는 특가상품좀 줄여주세요. 무슨 광고가 10개가 넘게 나온답니까?,4.7,시뮬레이션
21,드래곤 시티 (Dragon City),게임속 아이템을 보석으로 구매하였는데 보석은 사용되었고 아이템은 지급되지않았습니다 결국 저의 30보석정도가 증발했네요 돌려주실순 없나요..게임을 이제 막 즐기려는 사람인데 너무힘듭니다..ㅠㅠ,4.7,시뮬레이션
22,드래곤 시티 (Dragon City),"안녕하세요 1년차 입니다 일단 이 게임은 크리스마스 및 특정 어느 날 의 퍼줌니다 그리고 광고 로 많은 L및H등급 드래곤 이나올수 있습니다 하지만 광고 를 많이 봐야 상자 같은 보상을 얻을수있지만 드래곤 이나올 확률이 0.0001 퍼센트 일겁니다 하지만 요즘 광고 를 보고 나서 상자 의서 나오는 드래곤 이 종류 가많아지고 확률이 더증가 한것 갔습니다 그리고 현질 유도가 쫌 심한편은아닙니다 현질 말고도 무과금 으로 플레이를 해도 과금 과 별차이가 없고 생명의나무 의서 는 이벤트로 구슬 로 드래곤을 소환할수 있습니다 구슬 은 획득 하기...
전체 리뷰",4.7,시뮬레이션
23,드래곤 시티 (Dragon City),드래곤 종류별로 모으는 재미가 있네요 하지만 유료결제 팝업이 접속시 너무 많이 떠요,4.7,시뮬레이션
24,드래곤 시티 (Dragon City),수집형 좋아하는 스타일이면 재미있음 근데 과금 유도가 너무 심함,4.7,시뮬레이션
25,드래곤 시티 (Dragon City),너무심한과금과광고요,4.7,시뮬레이션
26,드래곤 시티 (Dragon City),드래곤 디자인이 굉장히 다양하고 재밌는 게임입니다.드래곤 좋아하는 사람들한테 강추!,4.7,시뮬레이션
27,드래곤 시티 (Dragon City),완전 대박 잘만들었어요 그리고 재밌어요♡,4.7,시뮬레이션
28,드래곤 시티 (Dragon City),드래곤도 귀엽고 좋지만 싸우고 먹이고 번식하고 맨날 이렇게 밤복하는데 지루합니다. 그리고 번식하는 시간이 너무 김니다.결국에는 삭제하게 되었습니다.전 추천하지 않습니다.하지만 반복하고 지루하고 걍 있고 기다리는 게임을 원한다면 설치 히십쇼,4.7,시뮬레이션
29,드래곤 시티 (Dragon City),"키우는 맛이있고, 쉬운데 질리지 않고 현질유도도 꽤 적어요",4.7,시뮬레이션
30,드래곤 시티 (Dragon City),너무 좋고 점점 레벨업을 할때마다ㅡ보석을 주니 좋아요!,4.7,시뮬레이션
31,드래곤 시티 (Dragon City),영웅레이스 할 때 미션 끝내려고 보석 사용하고 다음 미션까지 끝내고나면 가끔 로드중 문제가 발생했습니다 라는 문구가 뜬 다음에 재접속하면 미션이 보석 쓰기 전으로 돌아가있어요ㅠㅠ 전부다 돌아가면 괜찮은데 보석은 보석대로 사용하고 미션까지 원위치 되버리니까 기분이 나쁘네요ㅠㅠ 한 두번도 아니고 영웅레이스만 하면 저런 현상이 발생합니다.. 속상하네요 정말ㅠ 확인 좀 해주세요😭😭😭😭😭,4.7,시뮬레이션
32,드래곤 시티 (Dragon City),안녕하세요 시작한지 2주정도지났는데(무과금유저) h등급 1마리와 l등급 2마리정도있네요 현질없이도 즐길수있는게임!!! 이벤트가 많아서 너무 좋습니다 그리구 한국인분들이 많이안계셔서 제가 길드를 만들어봤습니다! 길드검색창에서 korea people 검색해서 들어와 주시면 됩니다~~ 같이 소소하게 즐겨봐요,4.7,시뮬레이션
33,드래곤 시티 (Dragon City),제 개인적인 생각에는 이거 페이스북친추만 받지말고 게임 안에있는 사람들끼리도 친추가능하게 해주세요.😆 그러면 좀 더 게임을 즐길 수 있을거 같아요 이거만 좀 추가해주실 수 있을까요?...☺️ 가능하면 해주시길 바랄게요. 기대하고 있을게요 찡긋~><❤🧡💛💚💙💜 그 이외는 하나도 빠짐없이 재밌게 플레이하고 있어요^^ 그래도 너무 좋아하는 게임이라 평점에서 별빼는건 못하겠네여ㅎㅎ 일단은 가능하면 해주세요~부탁드립니다.,4.7,시뮬레이션
34,드래곤 시티 (Dragon City),재미있고 드래곤도 노력만 하면 얻을수 있어서 좋습니다. 그런데 게임 접속할때 마다 뭐 사라고 나오고 티비드래곤한테 광고 보고 보상 얻을려고했는데 광고도 안 뜬다고하고 인터넷 연결도 잘되있는데 한번씩 이용 불가로 뜨는거들만 빼면 나쁘지 않은 게임입니다.,4.7,시뮬레이션
35,드래곤 시티 (Dragon City),"완전 재밌어요^^ 시간이 걸리지만 너무 오래 하지않고 적당히 재밌게 즐길수있는것 같아요. 그리고 엄청 혜자인것 같아요 제가 제일 좋아하는겜이에여 ㅎㅎ그리고 드래곤 시티 같이하고 팁도 얻고 싶으시면""드래곤 시티 같이해오""여기 채팅 방으로 들어와주세여 많이 들어와 주세여~(참고 마지막 ""요"" 아닙니다""오""맞아요)",4.7,시뮬레이션
36,드래곤 시티 (Dragon City),재미있네요 드레곤도키우고.. 싸우고.. 먹이고.. 레벨업하고.. 퀘스트 풀고.. 재미있네요 몇몇 드레곤들도귀엽고 참 재미있는 게임 이네요! 다른분들도 한번해보시는게 좋을것 같아요!!,4.7,시뮬레이션
37,드래곤 시티 (Dragon City),억울합니다. 오랜만에 드래곤시티 접속했는데 퀘스트에서 새로운 드래곤들이 나왔더라구요. 근데 저는 이미 몰럭 컵 이여서 새로 나온 드래곤을 못받았습니다. 심지어 퀘스트는 이미 완료 했다고 합니다. 퀘스트를 할수 있게 해주세요.,4.7,시뮬레이션
38,드래곤 시티 (Dragon City),게임은 재미있습니다 좋은 드래곤을 얻고 싶으면 노력을 하면 되고 무과금 유저도 충분히 할수있습니다. 알이 부화하는 시간이랑 교배하는 시간만 줄여주시면 더 좋은게임이 될수있을거 같습니다.,4.7,시뮬레이션
39,드래곤 시티 (Dragon City),실제로 무언가를 키울때 도움이 되는 것 같은 느낌이 듭니다. 재미도 있습니다.,4.7,시뮬레이션
40,드래곤 시티 (Dragon City),너무너무 재밌어요! 이게 제일 재밌어요,4.7,시뮬레이션
