title,reviews
코끼리는 그곳에 있어," 













경탄스러운 데뷔작이자 안타까운 유작인
후 보 감독의 '코끼리는 그곳에 있어'는
무척이나 사실적이고도 소름끼치는 작품입니다.

중국 사회의 단면이 그대로 녹아들어 있는 듯한
이 작품에는 각각 중국을 대표하는 세대들이라고 할 수도 있는
인물들이 4명 나오게 되는데 
에드워드 양과 왕빙의 영화들이 많이 떠오르네요.


중국에 대한 인식이 좋지 않은 한국인들의
일반화의 오류 혹은 선입견 처럼도 이야기하는
'착짱죽짱'이라는 단어가 안타깝지만 그대로 적용되는 듯한
매우 씁쓸하고도 스산한 작품이기도 합니다.

그리고 이 모든 현실이 작가 본인에게도
영향을 미칠 때 이 영화는 더욱 먹먹함을 전합니다.



모두가 버스에서 내린 어두운 밤
만저우리에서는 코끼리가 그곳에 있었을까요.
일제히 한 곳을 바라보는 중국 인민들의 시선은
어둡지만 그곳을 향하고 있습니다.

그건 아마도 중국（영화）의 미래가 담겨있기도 하겠지요.      "
코끼리는 그곳에 있어,"후 보 감독
大象席地而坐  An Elephant Sitting Still  2018









풀리지 않는 이유들











정서적 불안  회피를 통한 자기안위  언행불일치  자기합리화 등
감정의 바닥에서 인간이 보여줄 수 있는 총아를 보여주려 했던 것인가?
롱테이크틑 통해 감정선의 대비를 나타내며 아주 긴 호흡으로 간다
그래서 네 시간 가까이 된다
아주 지친다
심지어 인터미션도 없다

톤의 변화도 없이 안개 속에서 부초처럼 흘러가듯
마냥 코끼리를 보러 가겠다며 멍하니 앉아 있다가
인간존재의 근원에 대해 삽시간에 잡다한 생각들을 모습들을 영상으로 담아냈나 보다

지친다
지쳐
아우"
코끼리는 그곳에 있어,"코끼리는 그곳에 있어
감독
후 보
출연
펑유창  장 위  왕위원  리총시
개봉
2019.11.21. 중국
리뷰보기

올해 전주 영화제는 친구들과 함께였다. 영화에 집중하고 싶어서 잠깐씩 사람을 만나는 것 이외에는
거의 혼자 시간을 보내는 나의 평소 영화제와는 다른 여행이었다.
영화보다는 가맥을 먹고 싶었고  러닝타임이 긴 영화는 보고 싶지 않았다.
작년 겨울부터 올 여름에 이르기까지 많이 우울했기에 울적하고 적막한 영화는 본능적으로
피해왔던것이 사실이었다.



타이틀과 시놉이 끌렸음에도 불구하고 울적한 영화는 보고싶지 않다며 외면했던 영화를
늦가을 드디어 만났다. 러닝타임 3시간 54분
영화는 긴 시간 내내 릴레이하듯 네명의 주인공들의 불행을 열거한다.
중국 만주의 어느 도시에서 살아가는 4명의 인물들이 각자 처한 절망을 안고 코끼리를 찾기 위한 여행길에 오른다
청소년  청년  중년  노년
각각의 세대를 대표하는듯한 4명의 인물들은 어째서인지 모두가 불행하다.



적당히가 아니라 비참하고 처철하게 말이다.
영화는 네개의 테마로 스토리라인을 구축하는데
1. 친구의 부인과 불륜. 사실을 알게 된 친구는 내 눈앞에서 투신자살했다. 
  2. 학교 폭력에 휘말렸는데  가해자를 다치게 했다. 중퇴 상태다. 나는 살인자가 될 것 같다. 
  3. 가족들에게 버려져 양로원에 가게 되었다. 그리고 가장 사랑하는 강아지가 사고로 죽었다. 
  4. 원조 교제 사실이 전교생에게 공개되었다. 엄마도 나를 포기했다.



4가지 이야기를 가진 주인공들은 어찌어찌 모여 만저우리에 있는 코끼리를 보러 가기로 한다.
코끼리는 우리에서 꼼짝을 하지 않는다고 한다.
영화를 보고 나서도 속이 후련하지 않았던 이유는 나는 이 '코끼리'가 죽음을 상징한다고 생각했기 때문이다.
지옥같은 현실에 자꾸만 내려지는 결론과 희망은 아이러닉하게도 죽음이 가져다주는 평온일수도..
관객 각각의 해석이 다르겠지만 코끼리를 묘사하는 것이 어쩐지 죽음과 연관되게 느껴져
해피엔딩으로 끝날것 같지 않다라는 생각이 들었다.



영화는 열린 결말이다. 들판에 코끼리의 울음소리가 들려오는 것을 끝으로 영화는 엔딩을 맞는다.
쓸쓸하고 폭력적인 세상에서 유일하게 자신들을 해치지 않을 무해한 코끼리.
더이상 상처받지 않고자 어쩌면 희망이 될 죽음의 길을 그들은 택했을까?
폭력적인 내용들로 가득하지만 폭력적인 장면들은 직접적이지 않다.



다만 우울하다면 추천하고 싶지 않은 영화이다. 허무함으로 가득차 있는 영화는
왜 감독이자 극작가인 후보가 그렇게 대단한 재능을 갖고 있음에도 29살 젊은 나이에 영화를
단 한편의 처음이자 마지막인 이 영화 코끼리는 그곳에 있어를 유작으로 남기고
스스로 삶을 놓아버린 이유를 이해할 수도 있을것 같다.
씁쓸함으로 가득차있지만 예술적 가치가 높은 영화임에는 틀림없다.
미장센과 장면의 플룻들이 아름답다.
영화를 보고 나오는 길  문득 황병승의 시가 생각났다.




황병승  눈보라 속을 날아서 中
나에게 소원이 하나 있다면그것은 한 번만이라도 
생긴 대로 살고 싶은 것
하지만 그게 안 돼서 말처럼 쉽지가 않아서
나는 엉망으로 늙어간다
내가 어리석다면
당신이 말하는 것처럼 내가 정말 어리석다면
아름다운 소녀는 나빠지고
사랑은 깊어갈수록 진흙탕
내가 정말 어리석다면
당신이 말하는 것처럼 내가 정말 어리석다면
내가 만든 음악으로 나는 커서 멋지게 날아올라야 할 텐데……
(당신의 목소리는 참 이상하다
당신의 목소리는 자꾸만 나를 머뭇거리게 하지)"
코끼리는 그곳에 있어,"※주의※

- 11월 개봉작 및 최근작등 한달간 본 영화들에 대한 별점과 한줄평들입니다.
해당 영화들에 대한 평은 저의 개인적인 견해이니 참고정도로만 하시기 바랍니다.










＜변신  Metamorphosis＞
감독 : 김홍선
출연 : 배성우  성동일  장영남  김혜준  조이현  김강훈

* 유행을 타게되면 변하지 않고 그대로 하려는 한국영화의 습성.

별점 : ★☆








＜퍼펙트맨  Man of Men＞
감독 : 용수
출연 : 설경구  조정웅  허준호  진선규  김사랑

* 기시감으로 가득찬 조우.

별점 : ★★








＜장사리: 잊혀진 영웅들  Battle of Jangsari＞
감독 : 곽경택  김태훈
출연 : 김명민  최민호  김성철  김인권  곽시양

* 이런 완성도로 엔딩 크레딧에 실화 인물의 사진을 올리는 것은 반칙(혹은 실례)이다.

별점 : ★☆








＜와일드 로즈  Wild Rose＞
감독 : 톰 하퍼
출연 : 제시 버클리  줄리 월터스  소피 오코네도

* 전형적 관습으로 부터 조금씩 비켜가며 울려퍼지는 노랫말들.

별점 : ★★★☆








＜오늘  우리  Today  Together＞
감독 : 조은지  부은주  송예진  곽은미
출연 : 정수지  이상희  조민경  윤혜리  이민영

* 여성영화에 보내는 응원과 연대.

별점 : ★★★








＜신의 한 수: 귀수편  The Divine Move 2: The Wrathful＞
감독 : 리건
출연 : 권상우  김희원  김성균  허성태  우도환

* 관객들 수읽기는 능하지 못하다.

별점 : ★★








＜더 빌리지  Dachra＞
감독 : 압델하미드 부크낙
출연 : 야스민 디마씨  헬라 아예드  아지즈 즈발리

* 주술에 희생되는 아이들이 진짜 공포.

별점 : ★★☆








＜닥터 슬립  Doctor Sleep＞
감독 : 마이크 플래너건
출연 : 이완 맥그리거  레베카 퍼거슨  카일리 커란

* 흥미롭긴 하지만 큐브릭은 좋아하지 않을 것 같다.

별점 : ★★★








＜왓 데이 해드  What They Had＞
감독 : 엘리자베스 촘코
출연 : 힐러리 스웽크  마이클 섀넌  타이사 파미가  블리드 대너  로버트 포스터  조쉬 루카스

* 골고루 정량을 맞춘 화술  뛰어난 연기 앙상블 뒤에 남는 사라지지만 뚜렷한 잔상.

별점 : ★★★☆








＜제미니 맨  Gemini Man＞
감독 : 이안
출연 : 윌 스미스  메리 엘리자베스 윈스티드  클라이브 오웬  베네딕 웡

* 이안 감독의 영화 기술 실험실.

별점 : ★★








＜람보: 라스트 워  Rambo: Last Blood＞
감독 : 애드리언 그런버그
출연 : 실베스터 스탤론  파즈 베가  세르지오 페리스 멘체타  이벳 몬레알

* 증오만 남은 액션.

별점 : ★☆








＜좀비랜드: 더블 탭  Zombieland: Double Tap＞
감독 : 루벤 플레셔
출연 : 우디 해럴슨  제시 아이젠버그  엠마 스톤  아비게일 브레스린  조이 도이치

* 전편의 답습. 의리와 팬 서비스.

별점 : ★★☆








＜블랙머니  BLACK MONEY＞
감독 : 정지영
출연 : 조진웅  이하늬  이경영  강신일  최덕문

* 현실에서 하지 못한 것을 영화에서 외친다.

별점 : ★★★








＜윤희에게  Moonlit Winter＞
감독 : 임대형
출연 : 김희애  김소혜  성유빈  나카무라 유코  키노 하나

* 추운 겨울 따뜻하게 녹일 담담하고 진한 편지.

별점 : ★★★☆








＜캡티브 스테이트  Captive State＞
감독 : 루퍼트 와이어트
출연 : 에쉬튼 샌더스  존 굿맨  베라 파미가

* 메세지나 플롯보다 리듬을 만들어내는 테크닉이 주동력이다.

별점 : ★★★








＜시빌  Sibyl＞
감독 : 저스틴 트리엣
출연 : 버지니아 에피라  아델 에그자르코풀로스  가스파르 울리엘  산드라 휠러

* 이기적인 욕구충족 뒤에 밀려오는 당혹감.

별점 : ★★








＜겨울왕국 2  Frozen 2＞
감독 : 크리스 벅  제니퍼 리
출연 : 크리스틴 벨  이디나 멘젤  조시 게드  조나단 그로프

* 기술력과 OST는 그대로  보수적인 디즈니의 스토리 라인도 그대로.

별점 : ★★★








＜위!  Wij  WE!＞
감독 : 르네 엘러
출연 : 에메 클레어스  폴린 케슬런  로라 드로소풀로스

* 자극적인 방법론으로 그저 나열만 될 뿐.

별점 : ★★








＜나를 찾아줘  Bring Me Home＞
감독 : 김승우
출연 : 이영애  유재명  박해준  이원근  허동원

* 이영애의 반가운 복귀작이지만 연출에서는 치명적인 결함이 있다.

별점 : ★★☆








＜결혼 이야기  Marriage Story＞
감독 : 노아 바움백
출연 : 스칼렛 죠핸슨  애덤 드라이버

* '오징어와 고래' 부부 시점 버전. 올해 본 가장 생생한 각본과 연기.

별점 : ★★★★








＜아이리시맨  The Irishman＞
감독 : 마틴 스콜세지
출연 : 로버트 드 니로  알 파치노  조 페시

* 마틴 스콜세지가 시네마를 통해 미리 유언을 써놓은 듯 하다. 그야말로 장대한 걸작.

별점 : ★★★★★








＜코끼리는 그곳에 있어  大象席地而坐  An Elephant Sitting Still＞
감독 : 후 보
출연 : 펑유창  왕위원  장 위  리총시

* 경탄스러운 데뷔작임과 동시에 안타까운 작가의 잊을 수 없는 유작.

별점 : ★★★★★



- 11월에는 영화도 참 많이 봤는데 좋은 영화들도 많이 나왔습니다.
제게 가장 걸출했던 두 편의 영화는
'아이리시맨'과 '코끼리는 그곳에 있어' 였지요.

두 작품 모두 걸작이면서 러닝 타임이 상당한데
이 장대하고도 깊이 있는 영화를 만나보셨으면 합니다.

그리고  노아 바움백의 '결혼 이야기' 또한
좋은 수작이었죠.


이 세 편을 연달아 보고나니 아직 아카데미 시상식이
훨씬 많이 남았지만 그 방향을 짐작해 볼 수 있는 시기이기도 했습니다.

특히나  '결혼 이야기'의 각본과 연기는 무척이나 훌륭한데
적어도 여우주연상과 각본상에 노미네이트는 되지 않을까 싶습니다.

'아이리시맨'은 연출 연기 촬영 편집 음악 거의 대부분이 굉장한데
연기적인 면에서 로버트 드 니로와 알 파치노도 굉장했지만 
제겐 '조 페시'가 크게 다가옵니다.

물론  '좋은 친구들'로 한번 받았지만
이정도 연기면 남우조연상을 한번 더 받아도 되지 않을까 싶을 정도로
훌륭한 연기를 선보여 주십니다.



이 세 편은 그 자체로 뛰어난 영화들이고 
아마도 많은 분들이 보지 못한 영화들이라 생각하기 때문에
더욱 어필하고 싶은 마음이 드네요.



















＜12월 개봉예정작＞





＜굿 라이어  The Good Liar＞








＜나이브스 아웃  Knives Out＞








＜미안해요  리키  Sorry We Missed You＞








＜백두산＞








＜쥬만지: 넥스트 레벨  Jumanji: The Next Level＞








＜천문: 하늘에 묻는다  Forbidden Dream＞








＜캣츠  Cats＞








＜파비안느에 관한 진실  La verite  The Truth＞








＜포드 V 페라리  FORD v FERRARI＞



정보 : 네이버 영화
사진 : 네이버 영화"
코끼리는 그곳에 있어,"※주의※

- 한국영화를 보여드렸으니 이제 외국영화를 보여드리겠습니다.

2013년부터 올해까지 매해
저의 영화적 관점과 견해로 항상 리스트를 작성해 왔었습니다.
순위에 대해서는 저의 개인적인 견해이므로 참고정도로만 하시기 바랍니다.

해당 영화들의 선정은
2018.12.9 ~ 2019.12.08 까지
한국에서 정식으로 개봉한 작품들 대상으로 했습니다
（재개봉 영화는 제외입니다.）


저는 전문가도 아니고 기자도 아닙니다.
단지 영화를 사랑하는 사람으로서 재미로 봐주시고 
여러분들과 같이 영화적 소통을 하고 싶은 마음이 큽니다.

















＜2019년 외국영화 베스트 10＞

순전히 저의 기준으로 뽑은
'2019년 외국영화 베스트 10'은 아래와 같습니다.
（한줄평과 같이 올려드릴게요.）





10위. 러브리스
* 영혼없는 사랑의 서늘한 비극.











9위. 하이 라이프
* 큐브릭의 유산을 독자적으로 물려받은 클레어 드니.











8위. 살인마 잭의 집
* 단테의 모티브  끔찍하게 표출하는 예술가  이 모든 걸 다 했으니 어찌할 것이냐 묻는 미친 라스 폰 트리에.











7위. 조커
* 미친 세상  미쳐 버릴 수 밖에 없는  찰리 채플린의 명언이 '그(조커)' 자체인 역설과 아이러니.











6위. 지구 최후의 밤
* 무의식과 망각의 기억이 꿈으로 발현될 때 찾아오는 그 불빛.











5위. 아사코
* 머리가 아니라 행동을 취한 다음 얻게 되는 사랑의 깨달음.











4위. 퍼스트 리폼드
* 간과해서는 안될 폴 슈레이더의 작가영화.











3위. 아이리시맨
* 마틴 스콜세지가 시네마를 통해 미리 유언을 써놓은 듯 하다. 그야말로 장대한 걸작.











2위. 로마
* 자본과 기술 그리고 경력이 정점일 때 자신의 가장 사적인 기억을 마법같은 기적으로 만들어 낸다.































1위. 코끼리는 그곳에 있어
* 경탄스러운 데뷔작임과 동시에 안타까운 작가의 잊을 수 없는 유작.




- 제가 선택한 올해의 영화는 '코끼리는 그곳에 있어'입니다.

아마도 올해 가장 충격적이고 가슴 뭉클한
놀라운 데뷔작이지 않았나 생각이 듭니다.

영화 자체가 무척이나 사실적이고도 차가운데
이 영화의 감독이자 작가 '후 보'의 소식을 접하게 되면 
더욱 충격적이고 씁쓸하게 다가오기도 합니다.

올해 나온 비간 감독과 후보 감독의 영화들은
아마도 중국(영화)의 미래가 담겨 있다고도 볼 수 있겠지요.


참 좋은 영화들이 많이 나왔는데 
베스트 20이었다면 넣었을 후보군들도 같이 올려드리겠습니다.
(가나다 순입니다.)

결혼 이야기
경계선
더 길티
더 페이버릿
레토
원스 어폰 어 타임 인 할리우드
콜드 워
토이 스토리4
포드V페라리
행복한 라짜로


올해가 얼마 남지 않았는데 
연말 마무리 잘하시고 미리 메리 크리스마스!!



정보 : 네이버 영화
사진 : 네이버 영화"
코끼리는 그곳에 있어,"#코끼리는그곳에있어
#AnElephantSittingStill
#약간의스포주의
★★★★

대상  거대한 코끼리는 여러가지로 상상해볼수있지만 노자철학을 빌리면 '도'의 개념을 지칭하기도 한다.  노자는  대상을 잡는다면 세상을 다스릴수있다했다.
영화는 거짓말 불신 폭력 무관심 선입견 그리고 이기심으로 가득찬 현실에서 우발적사건의 주인공이된 세사람이 마지막에 같은장소에 이르기까지의 얽히고설킨  여정의 기록이다.
그 여정에 동참하기위해선 마치 육중한 코끼리의발걸음 만큼이나 더딘 카메라의 이동을 따라서 잿빛배경의 긴 터널을 통과해야한다.
네시간에 육박하는 그 긴 과정에 집중케하는힘은 오롯이 주인공들의 내적 갈등에 촛점이 맞춰지게 의도적으로 뒷배경을죄다 흐리게처리한 클로즈업 장면들과 알수없는 비애감에 젖게만드는 정서적울림이 깊은 배경음악들의적절한 쓰임이뒷받침 하고 있다. 이 배경음악의 감성이 절정에 이르는곳은 바로 마지막에 세사람이 탄 버스가 만저우리로 가는 도중에 한적한 길에 멈춰서있는 장면을 롱테이크로 보여주는 부분이다.

만저우리에 가면 거대한 코끼리를 볼수있을지 몰라...
 
세 인물이 함께 모인 터미널에서는 오랜만에  따스한 불빛이  비춰주고있다.

산다는게 거대한코끼리를 발견하는 여정일뿐임을 그들은 알게될까.
그것은 노인의 말처럼 동물원으로 상징되는 바깥세계에 있는게 결코 아니며 바로 자신들 속에서 발견해내는것임을  그것은 마치 코끼리처럼 짓누르는 실존의 육중한 무게를  감당해야하는 그들 자신이 처한 바로그곳에서  그들이 무엇을할수있으며 또한 해야하는가에 대한 질문과 해답의 발견에 있음을.."
코끼리는 그곳에 있어,"영화 [코끼리는 그곳에 있어] : 팽욱창  왕위원  장 위 : 2019




1. 친구의 부인과 불륜. 사실을 알게 된 친구는 내 눈앞에서 투신자살했다.
2. 학교 폭력에 휘말렸는데  가해자를 다치게 했다. 중태 상태다. 나는 살인자가 될 것 같다.
3. 가족들에게 버려져 양로원에 가게 되었다. 그리고 가장 사랑하는 강아지가 사고로 죽었다.
4. 원조 교제 사실이 전교생에게 공개되었다. 엄마도 나를 포기했다.
지독한 현실  탈출구 없는 삶
만저우리에 가면 코끼리를 만날 수 있을까?
2019.11.27

감독: 후 보
출연: 팽욱창  왕위원  장 위

* 영화 코끼리는 그곳에 있어 정보
https://movie.naver.com/movie/bi/mi/basic.nhn?code=173557


* 영상이 유익하셨다면 '구독'과 '좋아요'를 눌러주세요~ 구독은 큰 힘이 됩니다. ^^

















 "
코끼리는 그곳에 있어,"코끼리는 그곳에 있어
감독
후 보
출연
팽욱창  장 위  왕위원  리총시
개봉
2019.11.21. 중국
리뷰보기









[2020-357]
코끼리는 그곳에 있어


 


2020년 12월 16일 수요일 모바일+유플러스 평점 4점


2018년도 중국에서 만들어진 영화중 가장 주목을 받았던 작품중 하나였다. 무려 4시간에 이르는 방대한 러닝 타임이지만 주요 등장인물인 네 명의 이야기가 씨줄과 날줄로 맞물려 들어가며 지루하지 않게 감상할 수 있는 영화다. 감독 후보는 이 영화로 데뷔했지만 아쉽게도 영화가 개봉되기전 요절을 한지라 더욱 기념비적으로 남는 작품이다.

국내에서는 1년 뒤인 2019년에 개봉해서 평론가들의 찬사와 함께 관객들의 반응도 괜찮은편이었는데 개봉관이 많지 않아 아쉽게 놓쳤던 작품이다. 뒤늦게 감상했지만 역시 근래 중국영화중 상당히 인상적인 작품이라는건 부인할 수 없는 사실로 받아들여진다.

영화는 한 아파트에서 불륜을 저지르고 있는 남녀의 씬으로 시작한다. 갑자기 남편이 찾아오고 절친과 와이프가 상간관계인 사실을 보고 바로 투신자살을 한다. 한편 고등학교에 다니고 있는 남자의 동생은 형을 믿고 친구들을 괴롭히던중 계단으로 굴러떨어져 중상을 입게 된다. 얼떨결에 중상을 입힌 고등학생은 쫓기게 된다.

본인의 집임에도 불구하고 딸의 가족들에게 떠밀려 양로원에 들어가게 되는 퇴직군인 출신의 할아버지는 강아지를 산책 시키려다가 동네개에게 자신의 개가 물려 죽는다. 마지막으로 도망가려는 남학생과 친분이 있는 여고생은 선생과의 원조교제 사실이 알려져 난감한 상황에 빠지게 된다. 이 네 명의 남녀들은 도시를 떠나려 하고 그들은 코끼리가 있다고 하는 동물원을 찾아 가게 되는데....

줄거리를 간단하게 요약하기는 어렵지만 대략 저런 흐름으로 서로 서로가 엮이게 된다. 후보 감독은 이 작품의 원작을 쓴 작가이기도하다. 이제 그의 영화를 다시 볼 수 없는다는건 아쉽지만 이 영화는 또 하나의 전설로 남지 않을까 생각된다."
코끼리는 그곳에 있어,"▶나 대신 울어주는 누군가를 만나면 왠지 위로가 될 것 같다. 그게 코끼리일지라도......
 
장장 네시간에 가까운 러닝타임. 도대체 누가 이런 영화를 만들지? 자신감 넘치는 감독의 객기일까? 긴 러닝타임 때문에 호기심이 생겼다. 

흑백영화가 아닌데 눈에 띄는 색이 없어 영상은 전반적으로 흑과 백으로 보인다. 초점이 흐려서 뚜렷하게 보이는 것이 하나도 없는 배경에 심지어 계절은 칙칙한 겨울이다. 갑자기 기온이 올라 바람도 불지 않고 정체된 공기에 미세먼지가 엄청나게 심해 뿌옇게 보이는 겨울날 같다. 음…밤에는 도저히 못 보겠다. 칙칙한 화면을 깜깜한 밤에 마주할 용기가 안 났다. 결국 지난 주말 낮에 이틀에 걸쳐 보았다.

한마디로 엉망진창이다. 영화에 등장하는 인물들 모두 해결책이 전혀 보이지 않는 문제를 가지고 있다. 그런데 그 문제는 모두 단 하루에 생긴 일이다. 그 하루가 없었다면 이 모든 문제는 영영 안 나타났을 수도 있었을 거다.


딱히 문제아는 아니지만 학업에 별 뜻도 없고 그냥 습관적으로 학교에 다니는 웨이부는 가정환경도 좋지 않다. 그나마 살뜰하게 챙겨주는 할머니에게 의지를 한다. 친구를 도와주다 어이없게 학교폭력에 휘말리고 학교 짱과 한판 붙는다. 우발적으로 그 아이를 쳤는데  그 애는 그만 계단에서 굴러 떨어져 병원으로 실려갔지만 죽고 만다. 덜컥 겁이 난 웨이부는 도망을 친다. 싸움을 잘 하는 것도 아니고 아직 미성년자라 어수룩한 데가 있어서 이일 저일에 휘말리며 피해자가 된다. 

하지만  입 하나는 제대로 살아있어서 또박또박 따지고 대든다. 마음에 든다. 학교에서의 사고 이후  밑도 끝도 없이 코끼리를 보러 만저우리에 가겠다고 가출을 한다. 만저우리는 동북지방에 있는 만주일 것이라고 지레짐작했는데  찾아보니 내몽고에 있는 도시였다.


웨이부의 친구 황링은 엄마와 둘이 산다. 일에 지친 엄마는 집에서는 잠만 잘 뿐 딸의 생활에는전혀 관심이 없다. 황링은 친절히 대해주는 학교의 부주임과 데이트를 한다. 원조교제라고 해야 할까? 둘이 같이 있는 장면을 누군가 찍어 단톡방에 올리는 바람에 동네에 소문이 난다. 

부주임과 그의 부인이 황링의 집에 찾아온다. 황링은 방문을 걸어 잠그고 창문을 통해 집을 탈출한다. 그리고는 야구 배트를 들고 현관문으로 살짝 들어가서  엄마를 몰아세우고 있는 부주임과 부인을 배트로 한 대씩 정확히 갈겨서 바닥에 눕혀버린다. 통쾌하다. 그녀는 기차역으로 항한다. 만저우리로 가기 위해서.


그 동네의 왕진 할아버지는 강아지를 키우고 손녀를 보는 낙으로 살고 있다. 본인 집에서 얹혀살던 딸부부가 어느새 주인행세를 하며  그에게 양로원에 들어가라고 한다. 게다가 애지중지하던 개는 산책하던 중에 큰 개에게 물려 죽었다. 양로원에 가느니 집을 나가고 말겠다고 결심한다. 그는 손녀를 데리고 만저우리로 가는 기차를 타기로 한다.


웨이부가 때린 애의 형 위청은 동네에서 알아주는 양아치이다. 똘마니를 거느리고 나쁜 짓은 다하고 다닌다. 하루는 절친의 부인과 바람을 피다가 그만 친구에게 들켰다. 그런데  친구는 바로 아파트 베란다에서 투신자살을 해버렸다. 위청이 불륜을 저지른 이유가 가관이다. 본인이 좋아하는 여자가 만나주지 않아 우발적으로 그런 일을 저지른 것이라며  그녀에게 책임을 돌린다. 완전 똘아이인데  밉지가 않다.

하나같이 삐딱한 등장인물들이 이상하게도 다 마음에 든다. 사랑스러운 구석이 있다고 해야 할까?

엄청난 사건이 계속 터지는데 이를 보여주는 영화의 장면 장면은 클라이맥스로 가는 듯 하다가 옆길로 빠져버린다. 막 부풀어 오르려는 풍선에서 갑자기 바람이 빠지는 것 같은 허무함과 무기력함이 느껴진다. 등장인물들은 청소나 식사 등 일상적인 일을 아무렇지도 않게 해내면서 현실의 문제와 함께 계속 앞으로 나아간다. 그렇다고 딱히 해결책이 보이는 것은 아니다. 물없이 고구마 열 개는 먹은 답답함...영화의 분위기는 예전에 본  지루하지만 묘한 매력이 있어 빠져들었던 연극 <고도를 기다리며>의 선문답과 어딘가 닮은 꼴이다.


만저우리에 가겠다고 기차역에 왔다가 모이게 된 웨이부  황링  왕진과 손녀는 기차가 취소되자  계획을 변경해 버스를 타기로 한다. 새벽녘 잠시 휴식을 취하고자 정차한 버스 주변에서 코끼리의 울음소리가 들린다. 아무것도 해결된 것은 없는데 카타르시스가 느껴진다. 코끼리가 그들 대신 울어줘서일까? 소리를 지르면서 울부짖던가 흐느껴 울던가 하면 답답함이 좀 해소될 것 같은데  아무도 우는 사람이 없다. 현실이 너무 팍팍해서 우는 방법조차 잊은 것일까?

할아버지 왕진이 웨이부에게 말한다.

“넌 어디든 갈수 있어. 가면 돼. 가보면 알게 될거다. 달라지는 건 없어. 살만큼 살고야 알았어. 예전에는 보기좋게 꾸몄지. 뭔가가 다를거라고. 제일 좋은 방법은 여기 이곳에 서서 저 멀리 딴 곳을 바라보면서 좋아질 것이라고 생각하는 거야. 떠나면 안돼. 여기 있어야 이곳의 문제를 해결할 수 있어.”

그의 말대로 어디를 가도 똑같을지도 모른다. 그래도 한 번 가보는 것이 낫다. 지금 그 것 외에 달리 할 일도  다른 방법도 없으니까. 우선 끔찍한 현실에서 탈출해 보자고. 그래서일까?

“같이 가봐요.”

웨이부의 한 마디에 왕진은 마음을 바꿔 같이 길을 나선다.
 영화가 끝나면 감독인 후보를 기린다는 자막이 나온다. 1988년생인데 2017년에 요절했다. 이유가 뭘까 찾아보니 영화를 만들다가 제작사와 갈등이 심해 자살을 했다고 한다. 이 영화의 주인공들처럼 도저히 해결책이 안보이는 문제였던 것일까? 아  너무 안타깝다. 엄청난 감독이라고 감탄하며 봤는데. 이 영화가 처음이자 마지막 영화라니......

+스틸컷 출처: 네이버 영화


코끼리는 그곳에 있어
감독
후 보
출연
팽욱창  장 위  왕위원  리총시
개봉
2019.11.21. 중국
리뷰보기"
코끼리는 그곳에 있어,"코끼리는 그곳에 있어
감독
후 보
출연
팽욱창  장 위  왕위원  리총시
개봉
2019.11.21. 중국
리뷰보기
음... 한계에 내몰린 사람들의 공허한 모습과 파멸로 치닫는 이야기를 그리는데... 좋은 연출에 강렬한 서사 등은 나쁘지 않았으나  이제는 이런 얘기가 개인적으로 별로다. 좀 지루하기도 하고. 너무 공허하고 때론 무미건조해서 슬픔조차 느껴지지 않는달까. 제기를 차는 마지막 씬만큼은 좋았으나  그들 앞에 놓인 삶을 생각하면 한편으로는 더 안타깝다. 아마도 감독이 그 같은 효과를 노린 것 같다만. 하여간 이런 인물들을 보면  왜 좋아지려 노력해보지 않을까 의문이다. 물론 내가 그만큼 몰리지 않아봐서  즉 자포자기할 정도로 괴롭지 않아봐서 공감을 못 하는 걸 수도 있다. 코끼리가 있는 줄 알고 간 곳엔  아무것도 없다는 것. 그것을 영화는 나타내고 싶었나보다."
