title,category
김남국  이재명   월에 당 대표 도전해야 ,Politics
김남국  송영길  서울시장 독배 마실 의지 보여 ,Politics
 김남국  송영길 서울시장 차출설에  주소 이전 포함 오늘 내 메시지 낼 수도  출발 ,Politics
김남국  송영길  독배 결연한 의지 이재명  당 대표 출마해야 ,Politics
김형기 경북대 명예교수  대구시장 공식 출마,Politics
경부 고속철 서대구역   일 개통 코레일 대구경북본부 고객 감사 행사,Politics
홍준표  대구시장 출마 공식 선언  체인지 대구  강조,Politics
 대구 영광 되찾겠다  홍준표  대구시장 출마 공식 선언,Politics
문 대통령  양산 사저   억에 매각,Politics
문 대통령  양산 매곡동 사저 매각으로   억 원 시세차익,Politics
  대통령   억 사저 사고파느라   억 빌렸다 갚아 재산공개 ,Politics
  대통령  매곡동 사저 매각     억원   억원 차익   억원       재산공개 ,Politics
김동연  국회와 성남에서 경기지사 출마 선언,Politics
 윤석열 정부  초기 운명   월  경기도지사  선거에 달렸다  고성호 기자의 다이내믹 여의도 ,Politics
정성호  유승민 경기도와는 일면식 없는 인물 ,Politics
김동연  경기도는 대한민국 압축판  내일 출마 선언 종합 ,Politics
   특활비 역대 정부 중 가장 적어  감사제도도 첫 도입 ,Politics
    특활비 김정숙 여사 옷값  무분별한 의혹제기 유감 ,Politics
김건희  대통령 취임식서 공식 인사 퍼스트레이디 행보 시작,Politics
박주선  전장연 대표는 대통령 취임식 초청 고려 대상   박근혜 전 대통령  최고 예우로 초청 ,Politics
인수위  대우조선해양 알박기 인사  비상식 몰염치  비판,Politics
대우조선 인사 논란 인수위  몰염치  vs    눈독 들이지 마라 ,Politics
공직자 재산 평균   억      억  천 신고,Politics
고위공직자 재산 평균   억       억 천만 원,Politics
안철수  총리 안 맡겠다   초대 총리에 한덕수 유력,Politics
총리 인선 작업 속도 이르면 주말 발표,Politics
 단독   당선인 측  집무실 이전 예산안 새로 짠다,Politics
국방부  용산 청사 이전  단계적 계획 수립 중 ,Politics
윤 당선인 측  일본의 역사왜곡 단호 대처  민주당 공세는 유감 ,Politics
