,title,artist,genre,lyric,Unnamed: 0
0,  어떤 하루  Feat  Colde           , PATEKO  파테코   ,R amp B Soul,"어떤 하루를 보냈니 난 하루 종일 너를 생각하고 있는데 집에 돌아가는 길에 각자의 하루를 꺼내 떠드네 늦은 밤 버스 안 내 어깨에 기대 잠들었던 거 기억해 서로의 하루를 우리는 채운 채 매일을 살아가고 있어 나의 하루에서 의미가 돼주는 너 어떤 말로 표현할까 조금씩 알 것만 같아 너를 마주 보고 오늘은 말할 거야 어떤 하루가 되던 나랑 같이 있자고 늦은 밤 버스 안 내 어깨에 기대 잠들었던 거 기억해 서로의 하루를 우리는 채운 채 매일을 살아가고 있어 나의 하루에서 의미가 돼주는 너 어떤 말로 표현할까 조금씩 알 것만 같아 너를 마주 보고 오늘은 말할 거야 어떤 하루가 되던 나랑 같이 있자고 
",
1,  구원      Feat  임지우  imzoo            , yosi  ,R amp B Soul,"I don't know stressed out feelin' lost im gonna hell suicide in my head i need your love I wanna run away world is going crazy i don't wanna die for you alone I always want you when I'm coming down she said love me but not is true 너 땜에 맘이 얼어 못 주는 love baby i beg you faded im a wreck whats coming next i pray of my god make me laugh my papa I don't want to cry Too many problems bother me I can't over it somebody take of me 하나 안 변한 서울시 그때가 그립니 똑같은 마음이지 I don't believe new love new love i'm falling down i'm falling down baby i don't know yeah 난 왜 이리 멍청한지 너 땜에 버린 존심 널 위해 삼켜 다시 더 나빠질 게 없는 우리 그래서 너는 내게 매일 괜찮아질 거라고 했지 내가 말했듯이 우린 무너지지 더 빠른 속도로 가라앉고 있지 하나 안 변한 서울시를 그래 난 매일 그리워해 너와 버텼던 그 시절의 나를 매일 또 그리워해 Streesed out I wanna be alive I always pray to god Bless us please bless us I don't believe new love new love i'm falling down baby i don't know yeah 난 왜 이리 멍청한지 너 땜에 버린 존심 널 위해 삼켜 다시 I don't believe new love new love i'm falling down i'm falling down baby i don't know yeah 난 왜 이리 멍청한지 너 땜에 버린 존심 널 위해 삼켜 다시 
",
2,  Random          , Jule  쥴   ,R amp B Soul,"it's a good day 좀 늦어져도 괜찮아 why So I can do this what if you need 걱정하지 말고 it's okay 진짜 별거 아닐걸 falling down 좀 넘어져도 괜찮아 what So you can try this again and again 아무렇지 않게 툭툭 털고 걸어가 모든 게 다 보이지 않아도 but you gonna fly 날아갈 거야 everythings all right 지금처럼만 넌 뭘 해도 다 잘 될 것 같아 내게 이 세상은 random random random random 매일매일이 random random random random 어디든 가자 random random random random 어차피 random random random random 밤이 되고 해가 떠야 아침이 올 텐데 시간은 날 왜 이리 붙잡을까 잠이 온 다음 꿈을 꿔야 내일이 올 텐데 이 phone을 난 놓질 못해 네모난 feed를 내리다 멈춰있는 저 사람들과 어디와 어디가 다를까 고민해 어두운 밤하늘에 반짝 비추는 떠다니는 꿈을 붙잡아 품에 안고서 내게 이 세상은 random random random random 매일매일이 random random random random 어디든 가자 random random random random 어차피 random random random random 내게 이 세상은 random random random random 매일매일이 random random random random 어디든 가자 random random random random 어차피 random random random random 
",
3,  Me and myself          , Mesani  ,R amp B Soul,"Someone said love conquers all so you better love who the f- said that I love me and myself 'til i die there's no other way Someone said life is too tough to handle alone Who said that I'mma ride with me and myself 'til i die there's no other plan Someone said I'll be laid in a black hearse with nobody else does that mean i failed Well i think my life has been cursed filled with anger and stress I only get pain no gain We are tired being tired there are liars pretending providers I'm tired of giving up fed up with blaming others for their faults justice seems like another cult tried to embrace my own hurts but it always turns to a verse the best superstition is the luck Electrifying desires never let you satisfied they are amplifiers Life goes on without a satisfaction and you'll never know the destination what's the definition of patience We're like zombies ate by hatred only blood will be our own traces What will you choose to be You gotta know What your choice will lead to No matter what it will be with you You'd better not blame others You gotta know What your choice will lead to No matter what it will be with you You'd better not blame others You gotta know What your choice will lead to No matter what it will be with you You'd better not blame others You gotta know What your choice will lead to No matter what it will be with you You'd better not blame others 
",
4,  MYSELF          , 황시은  ,R amp B Soul,"아무리 내가 애를 쓴대도  아무도 몰라준대도  난 여기 있어 여기 서 있어  날 부르는 이 없는 이곳  이 긴 긴 어둠속에서  난 여기 있어 홀로 서 있어  이 모순적인 공간에선  즐거움과 괴로움이 공존해  끝없이 나를 파고드는  사이가 있다해도 난 좋아  I wanna tell myself  I wanna tell myself  I wanna talk about me  i wanna talk about me  매일 난 혼잣말로 나를 설명해  I wanna talk about me  Can anyone hear me  적막한 공기만이 나를 감싸고  끝없는 공허함 속엔  내 목소리만 들릴 뿐  나 홀로 남아 있는 곳  뭘 해야 할 지도 생각이 안 나  I wanna tell myself  I wanna tell myself  그 누가 내게 알려준다면  내가 갈 방향을 말해준다면  그곳에 난 있어 그곳으로 가서  내 말을 전해줄텐데  I wanna talk about me  i wanna talk about me  매일 난 혼잣말로 나를 설명해  I wanna talk about me  Can anyone hear me  적막한 공기만이 나를 감싸고  
",
5,  Daisy  Feat  채민홍 CHAE MIN HONG            , 신미도  SIN MIDO   ,R amp B Soul,"매일이 괜히 반항으로 활개치고 내일이 속이 까맣게 타들어가 또 왜인지 목이 갈증가득했던 가요 Daisy oh Daisy 매일이 괜히 반항으로 활개치고 내일이 속이 까맣게 타들어가 또 왜인지 목이 갈증가득했던 가요 Daisy oh daisy 나를 탓하지마 나도 파랗던 바다가 좋아 마지막까지만 참고 바라던 낭만과 놀자 하늘만큼 땅만큼 발을 담근 나의 도강 우린 아플만큼 아팠죠 뼈를 깎은 마의 구간 매일이 괜히 반항으로 활개치고 내일이 속이 까맣게 타들어가 또 왜인지 목이 갈증가득했던 가요 Daisy oh Daisy 매일이 괜히 반항으로 활개치고 내일이 속이 까맣게 타들어가 또 왜인지 목이 갈증가득했던 가요 Daisy oh daisy Whenever you think you might not make it come to mi casa I can make it crystal clear So transparent like aqua Let’s give a try baby let’s give a try 날 믿고 조금만 벅차도 같이 나아가자 Intoxicated mundane life goes 설상가상 사건들은 맘같이 안 될까 내 탓 같아 가혹한 감옥 망설인 내 각오 잔혹한 파도 난관은 늘 반복 매일이 괜히 반항으로 활개치고 내일이 속이 까맣게 타들어가 또 왜인지 목이 갈증가득했던 가요 Daisy oh Daisy 매일이 괜히 반항으로 활개치고 내일이 속이 까맣게 타들어가 또 왜인지 목이 갈증가득했던 가요 Daisy oh daisy 
",
6,  hEaVEn          , KARL  ,R amp B Soul,"너의 눈빛이 나의 눈빛에 닿을 때 좋아 너의 입술이 나의 손 끝에 닿을 때 좋아 어디든 떠나고만 싶어 너랑 두 손 꼭 잡고 내일 없는 사람처럼 웃고 놀고 먹고 자고 나 도망치고 싶어 너라는 천국으로 다시 돌아올 수 없는 영원한 그 곳으로 Oh you are heaven 불구덩이같은 지옥보다 깊은 난 헤어날 수 없어 You are heaven 다 삼켜낼 우주보다 더 짙은 난 헤어날 수 없어 난 헤어날 수 없어 너의 숨결이 나의 귓가에 닿을 때 좋아 너의 손길이 나의 어깨에 닿을 때 um 어디든 떠나고만 싶어 너랑 두 손 꼭 잡고 내일 없는 사람처럼 웃고 놀고 먹고 자고 나 도망치고 싶어 너라는 천국으로 다시 돌아올 수 없는 영원한 그 곳으로 Oh you are heaven 불구덩이같은 지옥보다 깊은 난 헤어날 수 없어 You are heaven 다 삼켜낼 우주보다 더 짙은 난 헤어날 수 없어 I love it when you cuddle like a baby I can’t hold it 그 무엇보다 날 웃게 만드는 너니까 Oh you are heaven 불구덩이같은 지옥보다 깊은 난 헤어날 수 없어 You are heaven 다 삼켜낼 우주보다 더 짙은 난 헤어날 수 없어 Help me baby only you can drive me crazy Without medicine Cuz you intoxicate me You are heaven 다 삼켜낼 우주보다 더 짙은 난 헤어날 수 없어 
",
7,  Call Of              , cyd  ,R amp B Soul,"somebody help me 내 손을 잡아 somebody else will 날 무너트려 Fuck call of 911 날 데려가 줘 ambulance 그게 네 목소리처럼 들려 babe 나도 지금 제정신은 아냐 maybe 내가 내 virus and poison 내 몸이 떨려 vibration 언제까지 멀어질 거야 난 이제 떠나가고 있는데 Girl 난 내 손으로 숨을 끊어 Girl 이게 마지막 인사 bye Call of 911 Call me right now right now 너만 가능해 Call of 911 떠나가지 마 돌아보지 마 Just don't leave me alone please me Baby my Heart beat now 점점 느려지고 또 내 동공이 풀려 초점을 잃고 있어 What's wrong with me You're the only one who makes me understand babe 어리광일 수도 어린 광대는 나였어 항상 같은 자리에서 기다리는 poppy &amp; kitty 잠깐 깜빡이는 현관을 보고 달려 몸을 날려 Mama said sit &amp; wait 시간이 흘러 눈물이 흘러 내 심장이 멈춰가 Baby When are you coming back Just give me an answer Call of 911 Call me right now right now 너만 가능해 Call of 911 떠나가지 마 돌아보지 마 Just don't leave me alone please me Call of 911 Call of 911 Call of 911 Call of 911 
",
8,  어른의 나 Adulthood           , 승후  ,R amp B Soul,"다 모든 건 흐려졌다 아직도 눈은 내리고 내 모든 걸 집어삼킨다 참 많은 시간들은 잊혀져 돌아보게 되는 날들은 계속 헤매기만 하는지 보이지 않아 어두워 지나갈 거야 힘든 건 볼 수 있을까 어른의 나 보이지 않아 어두워 지나갈 거야 힘든 건 볼 수 있을까 어른의 나 다 갈수록 멀어졌다 아직 우린 어색한 시간들은 우릴 맴돈다 난 모든 시간들을 쏟아서 너의 기억들에 잊혀져 너를 그리고만 하는지 보이지 않아 어두워 지나갈 거야 힘든 건 볼 수 있을까 어른의 나 보이지 않아 어두워 지나갈 거야 힘든 건 볼 수 있을까 어른의 나 어른의 나 어른의 나 
",
9,  Don t Mind          , 스탠드홈  Stand Home   ,R amp B Soul,"Baby i don’t mind if u smokin’ a cigarette You sippin’ on red wine and fuck up the red light Baby i don’t mind if u smokin’ a cigarette You sippin’ on red wine and fuck up the red light 넌 나 아니어도 돼 Just enough baby u call my name when you’re drunk You’re so so bad 난 어디도 못가 진짜 I got used to it bring drunken you and take down smile only to me Maybe the lie that say i love you but i still love u Baby i don’t mind if u smokin’ a cigarette You sippin’ on red wine and fuck up the red light Baby i don’t mind if u smokin’ a cigarette You sippin’ on red wine and fuck up the red light 넌 get down 난 또 네 눈치를 봐 Baby you know that how I feel when you leave me like that no way 난 너한테 no way u said go away cause girl testy always oh baby 아무리 채워줘도 텅 빈 니가 나로 채워지기를 바랬어 다 상관 없다고 뭐라고 하던 Fuck it i miss u Baby i don’t mind if u smokin’ a cigarette You sippin’ on red wine and fuck up the red light Baby i don’t mind if u smokin’ a cigarette You sippin’ on red wine and fuck up the red light 
",
