,title,artist,genre,lyric
0,  Save Me          , 김예지  ,록 메탈,"Breathe in breathe out 가빠지는 숨을 겨우 쉰다 물이 들어와 어느새 내 턱끝까지 차올라 Good night Maybe 나를 덮는 건 오로지 차가움 Faded i’m faded 나는 계속 가라앉을 뿐 Wanna feel the earth 나도 내 발로 서 있고 싶어 I’m ready to be saved 이 잠겨 가는 나를 봐 넌 잠깐 멈춰 손만 내밀면 되잖아 I’m ready to be saved 멈출 수 없어 난 저 멀리 희미하게 분명하게 빛나는 곳을 향해 온 몸으로 외칠 뿐 팔을 안고 떨리는 몸을 진정시켜 본다 젖은 채로 몸과 맘은 점점 더 식어져 가 늘 잔인했던 삶 난 구원이 필요한데 내 닿지 않는 바람 I’m ready to be saved 이 잠겨 가는 나를 봐 넌 잠깐 멈춰 손만 내밀면 되잖아 I’m ready to be saved 멈출 수 없어 난 저 멀리 희미하게 분명하게 빛나는 곳을 향해 온 몸으로 외쳐 Save save save me 누가 날 좀 구해줘 누가 날 좀 구해줘 어서 Please Save save save me 저 멀리 희미하게 분명하게 빛나는 곳을 향해 온 몸으로 외칠 뿐 
"
1,  Cool하게          ,  Z  투지   ,록 메탈,"도망치지마 내 눈을 바라봐  나를 바라봐  날 피하지마 you try you try  Never give it up give it up  give it up  you can wake it up wake it up  wake it up  정신차려 oh 붙들어놔 tension  break it up break it up  break it up  you can shake it off shake it  off shake it off  소리질러 oh 세상 쿨하게  같은 지붕 아래 뭐 이리 복잡해  얼굴만 보면 왜 잡아 먹으려만 해  잠시만 웃어보자 쫌  하루만 잠잠하자 쫌  어떻게 조용한 날이 없어  I need you 니가 여기  내가 여기 사는 이유  서로 다른 너와 내가 만난 Issue  그 얼마나 특별한 만남이오 oh oh  Never give it up give it up  give it up  you can wake it up wake it up  wake it up  정신차려 oh 붙들어놔 tension  break it up break it up  break it up  you can shake it off shake it  off shake it off  소리질러 oh 세상 쿨하게  뭘 자꾸 고민해 그냥 다 얘길 해  좋으면 좋다 해 뜸 들이지 말고 say  시간이 별로 없잖아  놓치고 싶지 않잖아  가만히 있는 것 보다 낫잖아  I feel you 같은 집에  같이 살고 싶은 이유  하나밖에 더 있겠어 special issue  니가 점점 좋다고 난 좋다고 oh oh  you can wake it up wake it up  wake it up  you can shake it off shake it  off shake it off  소리질러 oh 세상 쿨하게  도망치지마 내 눈을 바라봐  나를 바라봐  날 피하지마 you try you try  도망치지마 내 눈을 바라봐 나를 바라봐 날 피하지마 you try you try Never give it up give it up give it up you can wake it up wake it up wake it up 정신차려 oh 붙들어놔 tension break it up break it up break it up you can shake it off shake it off shake it off 소리질러 oh 세상 쿨하게 
"
2,  개화               , 김마리  ,록 메탈,"스르르 너에게 다가가 사르르 내리는 마음 아래 조용히 네 곁에 나 잠드는 그런 꿈을 꿨어 머리를 넘기는 너의 손 간지러운 바람 불어올 때 사랑은 이렇게 찾아와서 순식간에 번져 피어나 내게 어떤 모양이든 난 좋은 걸 다 너라서 말야 언제나 너의 음악이고 싶어 세상이고 싶어 사랑이고 싶어 아주 머지않은 미래엔 너의 모든 것을 알고 싶어 사랑은 그렇게 찾아와 내게 피어나 내게 어떤 모양이든 난 좋은 걸 다 너라서 말야 언제나 너의 음악이고 싶어 세상이고 싶어 사랑이고 싶어 아득한 밤 속에서 피어나는 너의 말 가득히 밀려오는 너를 세어보는 나 분명하게 너와 나 가까워질 것 같아 순식간에 스며들어 내 안에 가득히 피어나 그대 어떤 모습이든 난 좋은 걸 다 너라서 말야 언제나 너의 음악이고 싶어 세상이고 싶어 피어나 내게 어떤 모양이든 난 좋은 걸 다 너라서 말야 언제나 너의 음악이고 싶어 세상이고 싶어 사랑이고 싶어 
"
3,  별          , 극동아시아타이거즈  ,록 메탈,"하얀 별들 사이에 있는 까만 곳을 계속 보다 보면 숨겨져 있는 별들이 내 별일 거라는 생각을 했었고 아직까지 닿지 않는 나의 별들에 이야기에 희미해져 버려 잊혀가는 나는 아쉬워 돌아보는 아직 잘 가라는 말은 아직 하지 못하겠어요 나 아직 너무나 그리워 너무나 슬퍼서 나 아직 잘 가라는 말은 아직 하지 못하겠어요 나 아직 너무나 그리워 너무나 슬퍼서 나 어둔 하늘 바라보는 지쳐버린 나의 마음에는 언제부턴가 전하지 못하고 흩어진 나의 마음들은 다시 돌아오지 않을 것만 같은 우리의 순간을 희미해져 버려 사라져 가는 나는 아쉬워 바라보는 아직 잘 가 라는 말은 아직 하지 못하겠어요 나 아직 너무나 그리워 너무나 슬퍼서 나 아직 잘 가라는 말은 아직 하지 못하겠어요 나 아직 너무나 그리워 너무나 슬퍼서 나 아직 잘 가 라는 말은 아직 하지 못하겠어요 나 아직 너무나 그리워 너무나 슬퍼서 나 아직 잘 가라는 말은 아직 하지 못하겠어요 나 아직 너무나 그리워 너무나 슬퍼서 나 아직 너무나 그리워 너무나 슬퍼서 나 아직 너무나 그리워 너무나 슬퍼서 나 
"
4,  감각공해                , band IOWA  아이오와   ,록 메탈,"요란스러운 세상은 왜 이리도 시끄러운 건지 상자 같은 방안은 왜 이리도 어두운 건지 내 귀를 찌르는 고요함은 도저히 멈출 생각 없네 조용할수록 말이 많아지는 나의 마음은 지금 내 모습과 다를 게 없네 표정 없는 이들은 아무도 내 얘기를 들어주질 않네 소음을 내며 울부짖어야 그제서야 눈길을 주네 내 귀를 찌르는 고요함은 도저히 멈출 생각 없네 조용할수록 말이 많아지는 나의 마음은 지금 내 모습과 다를 게 없네 
"
5,  집 밖에 못 나가서 빡친 노래          , 배카인  ,록 메탈,"또 무너져 간다 무너져 간다 4시간은 쌓아 올린 카드 탑이 발효가 된다 발효가 된다 산채로 시체 마냥 냄새가 사람이 사는지 짐승이 사는지 바깥 날씨 어떤지 알 리가 없지 집에서 안 나간지 벌써 반년이나 지나갔네 뱃살이 는다 뱃살이 는다 배달 음식 시켜 먹다 살이 찐다 바닥이 보인다 바닥이 보인다 모아놓은 비상금이 사라진다 알바에서 잘려 일거리는 없어 방구석에 박혀 썩어가는데 니들은 마스크 없이 쳐 나가고 앉았냐 그렇게 좋아하는 노래방도 끊고 친구랑 매일 가던 PC방도 끊고 나가서 놀자는 약속도 뒤로하고 최대한 집안에서 박혀있는데 사이비 집회에 모이지를 않나 클럽에 모여서 춤추지를 않나 조금만 더 조심하고 신경 쓰면 되는 게 그렇게 니들한텐 어려운 거냐 거리 두기 1단계 발령 비대면 수업으로 전환되었고 밖에 나가 쉬는 것마저 마음 졸이면서 다녀야 하네 내리쬐는 강렬한 햇살 입술 주변에는 땀띠가 나고 조금만 더 기다려 보자 조금 있음 끝이 나겠지 또 무너져 간다 무너져 간다 8개월을 쌓아올린 카드탑이 난리가 난다 난리가 난다 지들끼리 치고박고 난리다 난리 군 휴가도 못 가 대면수업 못해 방구석에 못 박혀 썩어가는데 니들은 마스크 하나도 제대로 못 쓰냐 학교도 아주 그냥 휴학을 때리고 겨우 잡은 티켓도 환불을 때리고 잡혔던 정모도 취소를 때려놓고 최대한 집안에서 박혀있는데 자가격리 무시하고 쳐나가질 않나 어디로 싸도는지 숨기지를 않나 조금만 조심해도 소용이 없네 고마워라 이제부턴 못 나가겠다 거리 두기 2단계 발령 PC방 노래방은 문을 닫았고 밖에 잠깐 나가는 것도 마음 졸이면서 다녀야하네 한번 뚫린 구멍 사이로 우후죽순 감염자가 늘어나는데 언제 끝날지 가망이 없다 이제라도 정신 차려라 
"
6,  마르지 않는 돈          , 테크락  ,록 메탈,"마르지 않는 돈 마르지 않는 돈 마르지 않는 돈 마르지 않는 돈 바로 그 돈 나는 아직도 아무 일 한 적 없어 그냥 하루하루 시간만 죽일 뿐이야 이렇게 편한데 왜 고생을 사서 하나 나의 자존감이 다치게 일은 왜해 누군가에게 아쉬운 소리마저 할 필요 없는 세상에 살고 있어 너무 힘들다고 소리쳐 짜증내면 마법처럼 돈이 내손에 쥐어지네 마르지 않는 돈 마르지 않는 돈 마르지 않는 돈 마르지 않는 돈 바로 그 돈 한발 한발 걸어가는 나 자신이 대견 스러워 한쪽만 굴러가는 바퀴는 위험할 뿐이야 세상이 거꾸로 가 마르지 않는 돈 마르지 않는 돈 마르지 않는 돈 마르지 않는 돈 바로 그 돈 
"
7,  Scent of Night          ,  OAST  span    span neur sia  ,록 메탈,"밤에는 밤에는 어지러운 꽃향기가 밀려 들어와 낮이 되면 아무 일도 없었던 것만 같아 당연한 아픔에 혼자 괴로워 좋았던 기억은 희미해 벅찼던 기억은 불타올라 이 따금씩 날 목 졸라오지만 한 걸음 더 내딛어서 밤의 향기를 같이 기록해봐요 밤의 향기를 같이 마셔버리곤 도무지 알 수 없는 관계 휘감기는 감정 더 녹아가는 짝사랑 애석하게 희석된 내 자존심을 안타깝게 왜곡되었던 외로움을 꼭 눌러 담았던 산책길 밤의 향기에 같이 더 취해봐요 밤의 향기를 같이 마셔버리곤 가끔씩 아파오는 관계 몰려오는 미련 어지러운 풍경 속의 밤의 향기에 같이 떨어져 봐요 질식할 것만 같은 짙은 애증은 언제나 일방적인 관계 엇갈리기만 해 더 붙잡고 싶은 그대 더 붙잡고 싶은 사랑 
"
8,       기꽈          , Wabi King  ,록 메탈,"really 기꽈 They form a team for me Under the dawn to night They only play real RockNRoll I'm crazy to RockNRoll I have to follow them Wherever they go even if it's a grave or a universe One hundred is mind Crazy RockNRoll Without lies 1975 same same They run further away Like Thunder and TNT in my back is only guitaramps I'm going to long run away I have to follow them Wherever they go even if it's a grave or a universe One hundred percent Crazy RockNRoll Without lies 1975 same same They formed a team for me Under the Dawn to night They only play real rock and roll I'm crazy to rock and roll I have to follow them Wherever they go even if it's a grave or a universe One hundred percent Crazy RockNRoll With out lies Ha ha ha One hundred percent Crazy RockNRoll 1975 same same 
"
9,  벚꽃 예찬          , 조경훈  ,록 메탈,"벚꽃아 피어라 내가 그대를 사랑하는 봄날에 그대와 함께 걷는 벚꽃 길 찬란해 바람 불어와 꽃잎이 부서져 내려도 나는 괜찮아 아름다운 향기가 우리의 맘에 피어나잖아 추웠던 겨울 지나고 깊은 새벽을 지나 뜨지 않을 것 같았던 해가 떴잖아 너에게 전화를 걸어 우리 만날까 벚꽃이 피고 있잖아 나와줄래 내가 그대를 사랑하는 봄날에 그대와 함께 걷는 벚꽃 길 찬란해 바람 불어와 꽃잎이 부서져 내려도 나는 괜찮아 아름다운 향기가 우리의 맘에 피어나잖아 추웠던 겨울 지나고 깊은 새벽을 지나 뜨지 않을 것 같았던 해가 떴잖아 너에게 전화를 걸어 우리 만날까 벚꽃이 피고 있잖아 나와줄래 내가 그대를 사랑하는 봄날에 그대와 함께 걷는 벚꽃 길 찬란해 바람 불어와 꽃잎이 부서져 내려도 나는 괜찮아 아름다운 향기가 우리의 맘에 피어나잖아 내가 그대를 사랑하는 봄날에 그대와 함께 걷는 벚꽃 길 찬란해 바람 불어와 꽃잎이 부서져 내려도 나는 괜찮아 아름다운 향기가 우리의 맘에 피어나잖아 
"
10,  마중          , 강헌구  ,록 메탈,"니가 돌아온다면 내가 마중 나갈게 사뿐사뿐 와서 그냥 편히 쉬렴 봄꽃 피고 지고 눈보라 몰아쳐도 이 자리 이곳에서 네가 나타날 때까지 니가 돌아온다면 내가 마중 나갈게 멀고 힘들어도 다시 돌아와 줘 힘겨웠던 그때 그날에 그 많은 일들 다 잊고 이곳에서 네가 나타날 때까지 니가 돌아온다면 내가 마중 나갈게 멀고 힘들어도 다시 돌아와 줘 다시 다시 돌아와 줘 
"
