,title,artist,genre,lyric
0,  사랑을 위하여          , 박창근  ,성인가요 트로트,"이른 아침에 잠에서 깨어 너를 바라볼 수 있다면 물안개 피는 강가에 서서 작은 미소로 너를 부르리 하루를 살아도 행복할 수 있다면 나는 그 길을 택하고 싶다 세상이 우리를 힘들게 하여도 우리들은 변하지 않아 너를 사랑하기에 저 하늘 끝에 마지막 남은 진실 하나로 오래 두어도 진정 변하지 않는 사랑으로 남게 해주오 내가 아플 때보다 네가 아파할 때가 내 가슴을 철들게 했고 너의 사랑 앞에 나는 옷을 벗었다 거짓의 옷을 벗어버렸다 너를 사랑하기에 저 하늘 끝에 마지막 남은 진실하나로 오래 두어도 진정 변하지 않는 사랑으로 남게 해주오 너를 사랑하기에 저 하늘 끝에 마지막 남은 진실 하나로 오래 두어도 진정 변하지 않는 사랑으로 남게 해주오 사랑으로 남게 해주오 
"
1,  영원한 내사랑          , 민들레  ,성인가요 트로트,"당신을 사랑합니다 당신 사랑 찾아갑니다 당신은 영원한 내 사랑 당신을 사랑합니다 하늘만큼 사랑합니다 내 모든 것 다 주어도 아깝지 않은 당신 당신은 영원한 내 사랑 하루 하루 당신을 위해 살아가는 여자 여자 당신 위해 거울 보며 화장도 고쳐보고 립스틱 짙게 바르고 당신 사랑 찾아갑니다 일편단심 당신만 사랑합니다 당신은 영원한 내 사랑 빠빠빠 당신은 영원한 내 사랑 당신을 사랑합니다 하늘만큼 사랑합니다 내 모든 것 다 주어도 아깝지 않은 당신 당신은 영원한 내 사랑 하루 하루 당신을 위해 살아가는 여자 여자 당신위해 거울보며 화장도 고쳐보고 립스틱 짙게 바르고 당신 사랑 찾아갑니다 일편단심 당신만 사랑합니다 당신은 영원한 내 사랑 당신은 영원한 내 사랑 영원한 내 사랑 
"
2,  오세요          , 한민정  ,성인가요 트로트,"비껴라 잡꿈은 꺼져라  내사랑 꿈은 삭제되지 않는다  오세요 오세요 내곁에 오세요  나그대 사랑하고 있었어  이세상에서 그대와 나랑  행복도 불행도 함께  당신은 나비 나는 꽃이되어  긴세월 예쁘게 살고싶어  세월아 시간아 비껴라 멈추어라  야 야 내가슴에 새콤달콤 그대사랑이  내가슴에 꽃이되었네  함께한단 약속 영원히  비껴라 잡꿈은 꺼져라 내사랑 꿈은 삭제되지 않는다 오세요 오세요 내곁에 오세요 나그대 사랑하고 있었어 이세상에서 그대와 나랑 행복도 불행도 함께 당신은 나비 나는 꽃이되어 긴세월 예쁘게 살고싶어 세월아 시간아 비껴라 멈추어라 야 야 내가슴에 새콤달콤 그대사랑이 내가슴에 꽃이되었네 함께한단 약속 영원히 
"
3,  굳센남자          , 장민욱  ,성인가요 트로트,"세월이 흘러서 나이도 먹어왔지만 아직 이팔청춘 멋진 남자야 사랑의 감정도 끌리는 가슴뛰는 그런 남자야 늦었다 생각하지 말자 두 주먹 불끈쥐고 꿈을 향해 나는 달렸다 슬픔따윈 잊고 살았다 남자의 자존심도 아자자자자자자자자 뚝심으로 세상을 버텼다 으라차차 으라차차차 눈물로 나를 씻었다 쓰리쓰리쓰리쓰라린 가슴으로 버텨온 나는 인생의 무게를 견딘 굳센 남자야 세월이 흘러서 나이도 먹어왔지만 아직 이팔청춘 멋진 남자야 사랑의 감정도 끌리는 가슴뛰는 그런 남자야 늦었다 생각하지 말자 두 주먹 불끈쥐고 꿈을 향해 나는 달렸다 슬픔따윈 잊고 살았다 남자의 자존심도 아자자자자자자자자 뚝심으로 세상을 버텼다 으라차차 으라차차차 눈물로 나를 씻었다 쓰리쓰리쓰리쓰라린 가슴으로 버텨온 나는 인생의 무게를 견딘 굳센 남자야 아자자자자자자자자 뚝심으로 세상을 버텼다 으라차차 으라차차차 눈물로 나를 씻었다 쓰리쓰리쓰리쓰라린 가슴으로 버텨온 나는 인생의 무게를 견딘 굳센 남자야 
"
4,  윤중로 연가          , 주현미  ,성인가요 트로트,"흐드러진 벚꽃 바람에 휘날려 온 세상 하얗게 물들인 사월의 그 밤 당신과 단 둘이서 꿈결 마냥 이 꽃 길 속을 걸었었지 꽃이 지는날 그대는 떠나가고 내겐 아픔만 남겨두고 가버린 사랑이여 아아 오늘도 눈처럼 휘휘 날린다 이제는 추억이 된 사랑이여 바람부는 거리 가로등 외로워 아련히 꽃 비만 나리는 윤중로의 밤 당신의 웃음소리 꿈결마냥 내 가슴속을 적시는데 꽃이 진다고 그대가 잊혀질까 내겐 슬픔만 남겨놓은 야속한 사람이여 아아 오늘도 꽃비는 휘휘 날린다 이제는 추억의 윤중로에서 이제는 추억이 된 사랑이여 
"
5,  봉숭아          , 문대성  ,성인가요 트로트,"봉숭아 꽃이 필때면  소녀처럼 웃던 어머니  한잎 두잎 연분홍색  당신손에 내손에 물둘고  첫눈이 올 때까지  지워지지 않으면  첫사랑 맺어진다  놀리시던 어머니  뜨락에 피워있는  봉숭아꽃 저리도  곱디 고운데  봉숭아 꽃이 필때면  소녀처럼 웃던 어머니  한잎 두잎 연분홍색  당신손에 내손에 물둘고  첫눈이 올 때까지  지워지지 않으면  첫사랑 맺어진다  놀리시던 어머니  뜨락에 피워있는  봉숭아꽃 저리도  곱디 고운데  첫눈이 올 때까지 지워지지 않으면 첫사랑 맺어진다 놀리시던 어머니 뜨락에 피워있는 봉숭아꽃 저리도 곱디 고운데 봉숭아 꽃은 피는데 
"
6,  가슴으로 웁니다  Cover Ver            , 박진광  ,성인가요 트로트,"보나마나 이별인 걸 쓸때 없이 사랑은 왜해 속고 속이면서 울었던 사랑 그건 정말 착각 이었어 한 순간도 놓지 못하고 사랑했던 당신 이지만 울고 웃다 사랑하고 울고 웃다 미워했던 철없던 사랑이기에 오늘도 가슴으로 웁니다 보나마나 떠날 사람 쓸 때 없이 사랑은 왜해 속고 속이면서 울었던 사랑 그건 정말 착각 이었어 한 순간도 놓지 못하고 매다리던 당신 이지만 울고 웃다 사랑하고 울고 웃다 미워했던 바보같은 사랑이기에 오늘도 가슴으로 웁니다 오늘도 가슴으로 웁니다 
"
7,  당신은 내 소원          , 장인환  ,성인가요 트로트,"바람불고 비내리고 천둥같은 그리움 그때마다 생각나는 당신은 내 소원 입니다 멀리떠나 돌아보면 밀물같은 그리움 돌아간단 기약하는 당신은 내소원입니다 참아도 보고 말려도 봤지만 모른척하고 숨어도 봤지만 어차피 당신은 내 소원 입니다 영원히 당신은 내 소원 입니다 참아도 보고 말려도 봤지만 모른척하고 숨어도 봤지만 어차피 당신은 내 소원 입니다 영원히 당신은 내 소원 입니다 내 소원 입니다 
"
8,  겨울이 지나면 봄이되어 돌아 오겠죠          , 추미라  ,성인가요 트로트,"내 곁을 스치듯 지나간 인연들 난 사랑을 믿지 않았기에 당신을 만 난건 버거운 내 삶에 기적이었죠 그대 생각에 심장이 아파와 내 마음은 밤하늘처럼 까맣게 타버려 그리운 바람에 날려 보내요 아 운명인가요 누구도 대신할 수 없기에 내 모든 걸 주더라도 내 사랑 지키고 싶다 내리는 비에 그대 잊을까 그대를 그리는 이 밤 겨울이 지나면 봄이 오듯이 그대도 돌아오겠죠 아 운명인가요 누구도 대신할 수 없기에 내 모든 걸 주더라도 내 사랑 지키고 싶다 조용히 눈을 감고서 그대를 그려봅니다 겨울이 지나면 봄이 오듯이 그대도 돌아오겠죠 겨울이 지나면 봄이 오듯이 그대도 돌아오겠죠 
"
9,  알뺄로 친구          , 하주아  ,성인가요 트로트,"너는 누구냐 너는 내 친구  이세상에 하나 밖에 없는 친구  세월 가고 모두 변해도 변함 없는 친구  야 야 야 야 너는 내 친구  너는 나의 소중 한 친구 야야야야  너는 내 친구 술잔을 들어라  너를 위 하여 나를 위 하여  너와 나의 우정을 위 해  네가 있어 좋다 정말 좋다  한잔 하자 친구야  이게 누구야 오랜 만이야  이세상에 둘도 없는 멋진 친구  세월 가고 모두 변해도  변함 없는 친구  야 야 야 야 너는 내 친구  너는 나의 소중 한 친구 야야야야  너는 내 친구 술잔을 들어라  너를 위 하여 나를 위 하여  너와 나의 우정을 위 해  네가 있어 좋다 정말 좋다  한 잔 하자 친구야  야 야 야 야 너는 내 친구  너는 나의 소중 한 친구 야야야야  너는 내 친구 술잔을 들어라  한번 왔다가 가는 인생길 후회없이 살다 가야지 좋았건 싫었건 그 또한 인생 감사 하자 
"
