,Unnamed: 0,title,artist,genre,lyric
0,0,  사소했던 아무래도 좋은          , 주리  Joori   ,발라드,"사소했던 아무래도 좋은 순간들이 고스란히 남아 따스했던 너의 뒷모습도 고운 손끝까지 기나긴 한숨 널 볼 수 있도록 내 남은 마음 널 볼 수 있도록 나 여기 시간 끝에서 언제라도 내가 널 지킬게 마음을 다 보여주지 못한 서툴렀던 지난날의 내가 있는 힘껏 솔직했더라면 닿지 못해 낡은 아픈 말 기나긴 한숨 널 볼 수 있도록 내 남은 마음 널 볼 수 있도록 나 여기 시간 끝에서 언제라도 내가 널 지킬게 우리의 낮과 밤이 밉게도 계속될 거란 걸 알아 너는 내가 아니니 달리 추억될 그 미래까지도 몇 번의 겨울이 지나도 여전히 녹지 않도록 기나긴 한숨 널 볼 수 있도록 내 남은 마음 널 볼 수 있도록 나 여기 시간 끝에서 언제라도 내가 널 지킬게 
"
1,1,  Bad          , 장미  JANG MI   ,발라드,"오늘 정말 기분이 bad down  니 말투가 자꾸 귀에 맴돌아  bad down 너의 목소리  수없이 생각해도 나의 맘에  너밖에 난 없는 것 같아  헤어지잔말로 우리가  헤어져 살 수가 있겠니  떠나가지마 no no no  제발 가지마 no no no  우리 Love Love Love Love  all about you one two three  go fall in love  마지막 부탁이 있어 no no no no no  이별이란 말은 그만  oh oh oh 가지마  아직 너를 난 사랑해  oh oh oh 가지마  오늘 정말 기분이 bad down  니 말투가 자꾸 귀에 맴돌아  bad down 너의 목소리  수없이 생각해도 나의 맘에  너밖에 난 없는 것 같아  헤어지잔말로 우리가  헤어져 살 수가 있겠니  떠나가지마 no no no  제발 가지마 no no no  우리 Love Love Love Love  all about you one two three  go fall in love  마지막 부탁이 있어 no no no no no  이별이란 말은 그만  oh oh oh 가지마  아직 너를 난 사랑해  oh oh oh 가지마  하루하루 지나갈수록  하루하루 멀어질수록  하루하루 남이되는 너에게 너에게  하고싶은 말있어love  떠나가지마 no no no  제발 가지마 no no no  우리 Love Love Love Love  all about you one two three  go fall in love  마지막 부탁이 있어 no no no no no  마지막 부탁이 있어 no no no no no  
"
2,2,  느린 산책          , 모닝커피  Morning Coffee   ,발라드,"하루가길어 진것만같아 아마도그건 봄이왔단거겠죠 길가에 피어날 수 많은 풀꽃들 저마다 이름이 있겠죠 또 걷고걸었죠 괜찮아요 나는 나에요 걱정 따윈 말아요 남들 보다 느려도 천천히 걸어 나가면 돼 조급해마요 잘해내고 있어요 나를 믿어요 붉게수놓은 저녁 노을이 내 그림자마저 길게 늘어뜨릴때 하나둘 흩어진 놀이터 아이들 아쉬워하는 내맘처럼 또 걷고걸었죠 괜찮아요 나는 나에요 걱정 따윈 말아요 남들 보다 느려도 천천히 걸어 나가면 돼 조급해마요 잘해내고 있어요 나를 믿어요 달라지는건 없다해도 포기하지 말아요 나와 함께 걸어요 또 걷고걸었죠 괜찮아요 나는 나에요 걱정 따윈 말아요 남들 보다 느려도 천천히 걸어 나가면 돼 조급해마요 잘해내고 있어요 나를 믿어요 
"
3,3,  이제는          , 신왕선  ,발라드,"술 취한 밤에 난 또 전화를 걸어 아무도 받지 않는 너의 번호로 불쑥 생각난 함께한 기억이 오늘 밤도 나를 참 못 들게 해 기억하니 네가 울던 그 날 밤 영문도 모른 채 우린 함께 울었지 슬픔은 나누면 작아진다고 말했던 건 너인데 왜 슬픔만 주니 사랑이라는 말을 쉽게 하는 네가 미워 돌아서면 남이 된다는 그 말 더욱 싫어 마지막이란 말도 이젠 하지 않을래 이젠 정말 너와 만나지 않을 테니 기억나니 너를 잡던 그 날 밤 이유도 모른 채 우린 전활 끊었지 이별은 추억은 잠깐이면 잊혀진다고 말했던 건 너인데 왜 슬픔만 주니 사랑이란 말을 쉽게 했던 네가 미워 돌아서며 남이 됐다는 그게 정말 싫어 마지막이란 말도 이젠 하지 않을래 이젠 정말 너와 만나지 않을 테니 잊고 또 잊으려 해도 쉽지 않은 게 내 마음인데 잘 지내라고 웃으며 보냈던 나 바보였어 사랑이랑 말을 쉽게 했던 네가 미워 돌아서며 남이 됐다는 그게 정말 싫어 마지막이란 말도 이젠 하지 않을래 이젠 정말 너를 이젠 정말 너를 이젠 정말 너를 잊을래 
"
4,4,  겨울사람들          , 정지혜  ,발라드,"마음이 추운 사람 마음이 아린 사람 코끝이 빨개진 사람 손끝이 시린 사람 여기저기 모진 날들에 상처 입은 그 사람 때를 놓쳐 시기 지난 상처를 겨울까지 몰고 온 그런 사람 그런 사람 겨울 사람 겨울 사람들 여기저기 모진 날들에 상처 입은 그 사람 때를 놓쳐 시기 지난 상처를 겨울까지 몰고온 추위에 맘이 얼어 맘이 할 일을 못해 따스한 뭔가에 녹아 맘이 자리를 찾는 중 
"
5,5,  사랑하지 말아요 Prod  박종훈           , 선후  ,발라드,"그댈 향한 내 맘이 더 깊어질수록 그댄 내게서 멀어져 가고 한 번만 나를 보며 웃고 가끔은 내 생각 하길 간절하게 바랬었죠 나의 헛된 바램이 미련한 내 맘이 하루에도 몇 번씩 흩어져 먼저 다가가 지 못하고 사랑한다 말 못 하는 이런 내가 바보 같죠 내 두 눈에 그대를 담아 멀어지는 이유될까 봐 아무렇지 않은 척 그댈 바라보기만 하죠 이런 사랑하지 말아요 혼자 하는 사랑을 사소한 흔적까지 추억하는 사랑을 하고 있죠 사랑하지 말걸 그랬죠 아름다운 그대를 오랜 시간이 흘러도 그대 곁을 맴도는 나겠죠 의미 없는 그대의 말 한마디에도 어느새 또 내 맘을 흔들고 내겐 어울리지 않는데 밤새 그댈 기억하는 이런 내가 미워지죠 어떻게든 잊어가겠죠 사랑한 적 없던 것처럼 커져가는 그대의 맘을 숨긴 채 살아가죠 이런 사랑하지 말아요 혼자 하는 사랑을 사소한 흔적까지 추억하는 사랑을 하고 있죠 사랑하지 말걸 그랬죠 아름다운 그대를 오랜 시간 흘러도 그댄 내 맘을 모른 채 살겠죠 눈길조차 주지 않아도 하루가 가고 일 년이 지나도 행복한 나라서 안될 걸 알지만 오늘도 사랑한다 외치죠 후회하지 않아요 그리워만 했었던 아픈 추억까지 기억하며 살겠죠 사랑하지 말아요 혼자 하는 사랑을 오랜 시간이 흘러서 그댄 나와 다른 사랑을 하겠죠 
"
6,6,  Little Star          , 전도을  ,발라드,"무심코 올려다본 까만 하늘엔 구멍이 나버린 하얀 별들 속에 조금 더 닿고 싶어 손을 뻗을 땐 잡히지 않는 잡을 수 없는 네모난 공간에다 가두어 마냥 예쁘다 하는 네 모습을 보며 애써 가지려 하지 않아도 행복할 수 있다고 the like a little star stay in my hand 두 손으로 널 그려 가까이에 가져온 다음 한쪽 눈을 감고 난 너를 봤을 때 oh twinkle little star oh just love you girl 과거를 지나쳐 나 미래로 가서 네 맘을 전부다 가져올래 그리곤 널 내 곁에 두고 나면 나 오랫동안 밝혀줄 거야 네모난 공간에다 가두어 마냥 예쁘다 하는 내 모습을 보며 애써 가지려 하지 않아도 행복할 수 있다고 the like a little star stay in my hand 두 손으로 널 그려 가까이에 가져온 다음 한쪽 눈을 감고 난 너를 봤을 때 oh twinkle little star oh just love you girl 널 내 앞에 가두고 눈을 감았다 떴을 때 조금 더 나에게로 떨어졌으면 해 반짝이는 네게 나 눈이 부실 때 두 손으로 내 눈을 가려줬으면 해 the like a little star stay in my hand 두 손으로 널 그려 가까이에 가져온 다음 한쪽 눈을 감고 난 너를 봤을 때 oh twinkle little star oh just love you girl 
"
7,7,  어쩌면 나는          , 조수경  ,발라드,"우린 지금 여기에 같이 있어 아름다운 노래들을 함께 듣고 너의 웃는 목소리가 같이 있어 아름답게 펼쳐있는 바다를 넘어 어쩌면 나는 그리웠던 것 같아 우리가 함께 있는 이 순간을 어쩌면 나는 보고팠던 것 같아 어쩌면 나는 아마도 나는 우리 지금 여기에 같이 있자 쓰러지지않고서 사라지지않으며 우리 기억해보자 우리 지금 여기에 같이 있자 함께 웃던 이 순간이 영원하진 않겠지만 우리 우린 지금 여기에 같이 있어 아름다운 노래들을 함께 듣고 너의 웃는 목소리가 같이 있어 아름답게 펼쳐있는 바다를 넘어 어쩌면 나는 그리웠던 것 같아 우리가 함께 있는 이 순간을 어쩌면 나는 보고팠던 것 같아 어쩌면 나는 아마도 나는 우리 지금 여기에 같이 있자 쓰러지지않고서 사라지지않으며 우리 마주서보자 우리 기억해보자 우리 쓰러지지 않고서 사라지지 않으며 우리 우린 지금 여기에 같이 있어 아름답게 펼쳐있는 바다를 넘어 
"
8,8,  긴 밤          , 김진록  ,발라드,"이유없이 멍하니 시린 새벽을 걷고있어 저 흔들리는 불빛에 아른거리는 너를 따라가 들려오는 네 목소리 수줍은 미소와 따뜻했던 손 한참을 이렇게 너를 지켜보다 눈물 섞인 한숨만 너 없는 모든건 다 의미없어 숨을 쉬는 이 순간도 잠 못 드는 이 시간도 살아야 하는 이유였던 넌 데 견디지 못해 무너지는 날 잡아줘 하염없이 널 쫓아도 이제는 더이상 우리가 아니잖아 너 없는 모든건 다 의미없어 숨을 쉬는 이 순간도 잠 못 드는 이 시간도 살아야 하는 이유였던 넌 데 견디지 못해 무너지는 날 잡아줘 더 볼 수 없는 너의 웃음도 날 바라보던 너의 온기도 우리 뜨거웠던 모든 시간이 아직도 선명해 너 없는 모든건 다 의미없어 숨을 쉬는 이 순간도 잠 잠 못 드는 이 시간도 살아야 하는 이유였던 넌 데 견디지 못해 무너지는 날 잡아줘 
"
9,9,  너보길  너를 보러가는 길이야           ,   idle  ,발라드,"멍하니 길을 걷다가 또 나도 몰래 네 생각에 웃음을 지었어 멀리서 너를 보다가 마주친 눈에 미소짓는 네 모습을 봤어 혹시 너도 같을까 그게 아닐까봐 겁이나 괜한 욕심에 멀어질까봐 좋아한다 말하란 친구들의 말에 아닌 척 괜찮은 척 또 둘러대다가 너를 보러가는 길이야 언제나 처럼 날 반겨줘 너의 맘은 모르지만 내가 먼저 다가갈게 조금 서투른 말 이지만 그래 사실 조금 떨리지만 옆에 있어줄래 언제나 너와 함께 있을게 너의 맘도 같을까 혹시 아닐까봐 겁이나 너의 맘 속에 내가 없을까봐 오늘 너 뭐하냐는 갑작스런 문자에 말을 썼다가 지웠다가 우물쭈물 대다가 너를 보러가는 길이야 언제나 처럼 날 반겨줘 너의 맘은 모르지만 내가 먼저 다가갈게 조금 서투른 말이지만 그래 사실 조금 떨리지만 옆에 있어줄래 언제나 너와 함께 있을게 너를 보러 가는 길이야 언제나 처럼 날 반겨줘 너의 맘은 모르지만 오늘 너에게 말하고 싶어 너를 보러가는 길이야 부족하지만 날 받아줘 뭐라 할지 모르지만 내가 먼저 다가갈게 조금 서투른 말이지만 그래 사실 많이 떨려도 말할게 너를 많이 좋아한다고 
"
