,title,artist,genre,lyric
0,  날아와          , 크래커  CRACKER   ,포크 블루스,"흔들리고 싶지 않은데 마음은 또 소란해지네 봄이라 그런가 대체 왜 그럴까 어질어질 거리게 하네 하얗게 핀 벚꽃 아래서 네 눈빛을 느껴버렸네 그때부터였나 네 이름을 맨날 빈 종이에 썼다 지웠다 해 맘에 놓인 라디오를 켜고서 주파수를 너에게 딱 맞추면 하루 종일 들을 수도 있는데 내게 너를 알려줘 달아나는 계절을 붙잡고서 기다릴게 여기 4월 아래서 그러니까 빨리 내 곁으로 날아와 너만이 날 어디서나 사랑이 피어나게 하네 날아와 침대 위에 우리 둘이 누워서 반짝이는 두 눈을 딱 맞추고 하루 종일 떠들 수도 있는데 내게 너를 알려줘 밀려오는 졸음을 붙잡고서 같은 꿈을 꾸게 해줘 빌었어 그러니까 빨리 내 곁으로 날아와 너만이 날 어디서나 사랑이 피어나게 하네 날아와 너 없인 난 어디에도 봄날은 오지 않아 내게 날아와 
"
1,  눈물 나게 니가 보고 싶을 때  Feat  이다능           , 망고팔트  MangoPhalt   ,발라드,"너 없는 하루를 혼자 지내 보고 너 없는 밤들을 혼자 울며 지새워 보고 잊을 수 있다는 그런 말도 안 되는 큰 다짐을 하고 널 미워하려 했지만 어떡해 나 어떡해 너를 못 잊을 것 같아 아직도 니 생각에 난 아무것도 못하고 있어 너무 보고 싶어 하루 종일 눈물 나 오늘도 내일도 난 너만 기다리며 너와 걷던 이 길을 혼자 걷고 있겠지 날 위로해 주던 너의 예쁜 말들 꼭 껴안아 주던 너의 따뜻했던 가슴이 시간이 지나도 내겐 너무 선명해져 눈물이 흘러 정말 어쩔 수가 없나 봐 아직도 니 생각에 난 아무것도 못하고 있어 너무 보고 싶어 하루 종일 눈물 나 오늘도 내일도 난 너만 기다리며 너와 걷던 이 길을 혼자 걷고 있겠지 눈물 나게 니가 보고 싶을 땐 아무 일도 없는 듯 그때 그대로인 듯 혼자서 끝낼 거라면 내 아픔까지 가져가던지 왜 나만 혼자 이렇게 아프게 해 오늘도 내일도 난 너만 기다리며 너와 걷던 이 길을 혼자 걷고 있겠지 니가 너무 보고 싶어 니가 너무 보고 싶어 니가 너무 보고 싶어 내 사랑은 니가 갔던 그날에 멈췄어 
"
2,  개화               , 김마리  ,록 메탈,"스르르 너에게 다가가 사르르 내리는 마음 아래 조용히 네 곁에 나 잠드는 그런 꿈을 꿨어 머리를 넘기는 너의 손 간지러운 바람 불어올 때 사랑은 이렇게 찾아와서 순식간에 번져 피어나 내게 어떤 모양이든 난 좋은 걸 다 너라서 말야 언제나 너의 음악이고 싶어 세상이고 싶어 사랑이고 싶어 아주 머지않은 미래엔 너의 모든 것을 알고 싶어 사랑은 그렇게 찾아와 내게 피어나 내게 어떤 모양이든 난 좋은 걸 다 너라서 말야 언제나 너의 음악이고 싶어 세상이고 싶어 사랑이고 싶어 아득한 밤 속에서 피어나는 너의 말 가득히 밀려오는 너를 세어보는 나 분명하게 너와 나 가까워질 것 같아 순식간에 스며들어 내 안에 가득히 피어나 그대 어떤 모습이든 난 좋은 걸 다 너라서 말야 언제나 너의 음악이고 싶어 세상이고 싶어 피어나 내게 어떤 모양이든 난 좋은 걸 다 너라서 말야 언제나 너의 음악이고 싶어 세상이고 싶어 사랑이고 싶어 
"
3,  네가 듣기를          , 애주레버  Azurever   ,R amp B Soul,"널 잊고 싶어 맘이 자꾸 아리네 나도 모르겠어 왜 맘처럼 안되지 난 이런 적이 없었는데 가슴이 너무 답답해 너는 전혀 아닌데 나만 혼자 이렇게 맘처럼 쉽지 않아 널 보내기가 알아 끝났지만 계속 미련이 남아 보내주지 못한 내가 바보 같아 유난히 따뜻했던 겨울 봄이 와도 그리움 줄 수 없는 사랑을 담아 네가 듣기를 이제 겨우 네 맘을 이해했지 과거의 나를 전부 다 버렸지 못다 한 사랑을 어쩔 수 없지 여기에 담아 네가 듣기를 첨엔 네 탓을 하기 바빴어 이럴 거면 왜 다가왔어 어차피 지울 수 없는 상처 때문에 생각을 해봤어 아 내 탓이지 너무 몰랐지 다 탈 때까지 숨어야겠지 맘처럼 쉽지 않아 널 보내기가 알아 끝났지만 계속 미련이 남아 보내주지 못한 내가 바보 같아 유난히 따뜻했던 겨울 봄이 와도 그리움 줄 수 없는 사랑을 담아 네가 듣기를 이제 겨우 네 맘을 이해했지 과거의 나를 전부 다 버렸지 못다 한 사랑을 어쩔 수 없지 여기에 담아 네가 듣기를 does it feel so right 나는 아니야 I'm in the dark cover my eyes when the sun comes up 네가 너무 보고 싶어 이제 그만하고 싶은데도 유난히 따뜻했던 겨울 봄이 와도 그리움 줄 수 없는 사랑을 담아 네가 듣기를 이제 겨우 네 맘을 이해했지 과거의 나를 전부 다 버렸지 못다 한 사랑을 어쩔 수 없지 여기에 담아 네가 듣기를 
"
4,  옥상과 마당          , 전동욱  ,포크 블루스,"항상 보고 싶단 생각에 난 잠에 들 수가 없어 핸드폰을 켜고 그대 얼굴 바라봐야 잠들어 난 왜 이렇게 됐을까 그대 굴레 속에서 빠져나오기가 힘들어 저 좀 꺼내주세요 이 공간은 너무 예쁜 그대 Woo 걱정 마요 옥상과 마당이 있는 집에 살래요 그대 나와 함께 괜찮죠 Woo 걱정 마요 내가 사랑으로 그댈 대할게요 그대 사랑해요 내일은 그대를 만나는 날 멋진 옷들을 샀죠 조금 무리했어요 선택 miss였어도 날 봐줘요 마음이 너무 커졌나 걱정도 되지만 미래를 꿈꿔보아요 내 곁에 있어 줘요 이 공간은 너무 예쁜 그대 Woo 걱정 마요 옥상과 마당이 있는 집에 살래요 그대 나와 함께 괜찮죠 Woo 걱정 마요 내가 사랑으로 그댈 대할게요 그대 그대 사랑해요 
"
5,     머       feat  Deepflow           , Lil Poet  ,랩 힙합,"16 머 3845 어느새 녹이 슬어버린 목도리는 포개서 팔걸이 위에 아빠의 버버리 과거의 영광 3000cc 세단 녹이 슬어버린 뒷자리서 간판을 읽던 꼬마는 이젠 너무나 커버림 16 머 3845 어느새 녹이 슬어버린 목도리는 포개서 팔걸이 위에 아빠의 버버리 과거의 영광 3000cc 세단 녹이 슬어버린 뒷자리서 간판을 읽던 꼬마는 이젠 너무나 커버림 재현이 엄마 차를 drive 면허 땄던 그 날 새벽에 훔쳤어 차 키 밖엔 친구들이 대기 탐 음주운전은 안 하지만 무보험은 내 일상 본받아라 5년 무사고 넌 음주에 면허 박탈 poetry make it look easy 내 첫차 96년 프라이드 구매자에겐 비밀 70에 사 5년 타고 300에 되팜 돈을 버는 건 간단 똑같은 새끼들 중 나는 달라 만 원 한 장 못 받던 시절 울 엄마로 말장난 바로 죽빵 frml 올려 주가 slo 와 형수님 새 생명 축하 내게도 올까 아름다운 순간 너무 예쁜 아들 딸 그게 내가 이겨야 하는 이유지 밥그릇 싸움 친구에서 가족 frml 금수저를 물려줘 다음 타자에게 16 머 3845 어느새 녹이 슬어버린 목도리는 포개서 팔걸이 위에 아빠의 버버리 과거의 영광 3000cc 세단 녹이 슬어버린 뒷자리서 간판을 읽던 꼬마는 이젠 너무나 커버림 16 머 3845 어느새 녹이 슬어버린 목도리는 포개서 팔걸이 위에 아빠의 버버리 과거의 영광 3000cc 세단 녹이 슬어버린 뒷자리서 간판을 읽던 꼬마는 이젠 너무나 커버림 너무나 커버린 나 지금보다 서른쯤 어릴 때 기억 키는 딱 지금 반가리 반지하 방에서 얻어낸 비염 벽엔 늘 곰팡이 펴 밖은 대낮인데 불을 안 켜면 내방엔 Dimmer 창문 앞 뷰는 주차해놓은 아버지 차바퀴 옆 25짜리 월 사글세 신세에 안 어울린 세단 수퍼살론 은색 그다음엔 까만색 99 매그너스 그게 늘 못마땅하셨던 엄마의 표정 내가 더 커서 아버진 그 차를 팔았지 덥석 괜히 또 내가 대학에 붙어서 커버린 나 그 시절 내 아버지보다는 좀 어린 지금 내 나이의 취향은 그분과 좀 다른 사륜구동이지 옆엔 내 아내와 강아지 가끔 뒷자리엔 어머니 그의 빈자리엔 내가 주행의 목적지는 언제나 패밀리 16 머 3845 어느새 녹이 슬어버린 목도리는 포개서 팔걸이 위에 아빠의 버버리 과거의 영광 3000cc 세단 녹이 슬어버린 뒷자리서 간판을 읽던 꼬마는 이젠 너무나 커버림 16 머 3845 어느새 녹이 슬어버린 목도리는 포개서 팔걸이 위에 아빠의 버버리 과거의 영광 3000cc 세단 녹이 슬어버린 뒷자리서 간판을 읽던 꼬마는 이젠 너무나 커버림 
"
6,  별          , 극동아시아타이거즈  ,록 메탈,"하얀 별들 사이에 있는 까만 곳을 계속 보다 보면 숨겨져 있는 별들이 내 별일 거라는 생각을 했었고 아직까지 닿지 않는 나의 별들에 이야기에 희미해져 버려 잊혀가는 나는 아쉬워 돌아보는 아직 잘 가라는 말은 아직 하지 못하겠어요 나 아직 너무나 그리워 너무나 슬퍼서 나 아직 잘 가라는 말은 아직 하지 못하겠어요 나 아직 너무나 그리워 너무나 슬퍼서 나 어둔 하늘 바라보는 지쳐버린 나의 마음에는 언제부턴가 전하지 못하고 흩어진 나의 마음들은 다시 돌아오지 않을 것만 같은 우리의 순간을 희미해져 버려 사라져 가는 나는 아쉬워 바라보는 아직 잘 가 라는 말은 아직 하지 못하겠어요 나 아직 너무나 그리워 너무나 슬퍼서 나 아직 잘 가라는 말은 아직 하지 못하겠어요 나 아직 너무나 그리워 너무나 슬퍼서 나 아직 잘 가 라는 말은 아직 하지 못하겠어요 나 아직 너무나 그리워 너무나 슬퍼서 나 아직 잘 가라는 말은 아직 하지 못하겠어요 나 아직 너무나 그리워 너무나 슬퍼서 나 아직 너무나 그리워 너무나 슬퍼서 나 아직 너무나 그리워 너무나 슬퍼서 나 
"
7,  Dancin  in the Orange          , Yonha  연하   ,R amp B Soul,"문득 떠났던 바이킹을 타러 가면서 봤던 기억 속 그날의 바다는 지저분하고 더럽지만서도 When I closed my eyes and I looked at them 무슨 일이 난 거야 The Ocean of the Sunset 너와 난 눈을 맞춰 Before the night comes babe Just the two of us 난 네 손을 잡고 노을을 껴안아 We are Dancin' in the Orange 주황빛 아래 춤을 춰 더 떠올라 우린 더 점점 Deep in to the night We are Dancin' in the Orange 주황빛 아래 춤을 춰 곧 밤이 오더라도 우린 춤을 출 거야 모진 바람에도 나는 떠오를 수 있어 좀 무섭지만 나에게 넌 like many nuts 사랑은 진짜 많은 almond 얼굴에 두드러기 나고 목도 진짜 부어 그럴 때 오렌지 Let's swallow it 아파도 춤출 수 있을 만큼 널 원해 난 Before the night comes babe Just the two of us 난 네 손을 잡고 노을을 껴안아 We are Dancin' in the Orange 주황빛 아래 춤을 춰 더 떠올라 우린 더 점점 Deep in to the night We are Dancin' in the Orange 주황빛 아래 춤을 춰 곧 밤이 오더라도 우린 춤을 출 거야 
"
8,  아름드리나무          , 김나원  ,발라드,"아름드리나무 그늘엔 누가 살아가고 있을까 바람결에 날린 꽃잎은 누가 가져갔을까 머무른 나무 그늘 아래는 마음이 스쳐갔을까 떠나간 자리 그대로 여기 서있어 비 오는 날의 풀잎은 촉촉이 젖어든 꿈 인걸까 따뜻한 날의 햇살은 다시 돌아오는 너일까 떠나간 나무그늘 그 곳엔 마음이 스쳐있을까 돌아선 모습 그대로 여기 서있어 비 오는 날의 풀잎은 촉촉이 젖어든 꿈 인걸까 따뜻한 날의 햇살은 다시 돌아오는 너일까 아름드리나무 그늘엔 누가 살아가고 있을까 바람결에 날린 꽃잎은 누가 가져갔을까 누가 가져갔을까 
"
9,  have u flied before    환몽          , THE COMMON  더커먼   ,랩 힙합,"항상 같은 옷 모두 같은 머리 같은 공간 속 할당된 목표 오늘도 8 o'clock operation 피로도 매일 더해가도 눈을 떠 주인 따라 사명 잠 따윈 없어 주인 말을 경청 조용하고 맞어 이유도 모른 채 눈을 닫어 미뤄둬 몰라도 괜찮어 하루는 하늘을 내다봤어 하늘은 아녔어 내가 봤던 책이 알려줬던 사실과는 다르더라고 하루는 꿈속에서 날았어 하루가 갈수록 나의 가능성 어른들이 말한 현실과는 다를 수도 있어 Have you flied before Have you flied before Have you flied before 한번 날 믿고 따라와 위로 아니라 믿던 날아가 위로 위로 위로 위로 위로 Have you flied before Have you flied before Have you flied before 한번 날 믿고 따라와 위로 다들 아니라 믿던 하늘 날아가 위로 가는 너 
"
